id;nom;prenom;anneeDeNaissance;sexe;nationalite;club;status
1;ATSU;Jonathan;19960101;m;FRA;DAUPHINS TOULOUSE OEC;
2;AUBRY;David;19960101;m;FRA;MONTPELLIER METROPOLE NATATION;
3;BEROL;Julien;20010101;m;FRA;CN MARSEILLE;
4;BIDARD;ClÇment;20010101;m;FRA;MULHOUSE ON;
5;BONNET;Charlotte;19950101;f;FRA;OLYMPIC NICE NATATION;
6;BOUCHAUT;Joris;19950101;m;FRA;DAUPHINS TOULOUSE OEC;
7;BUSSIERE;Theo;19950101;m;FRA;CN MARSEILLE;
8;CARNEZ;Oceane;20020101;f;FRA;STADE BêTHUNE PêLICAN CLUB;
9;CINI;Mathilde;19940101;f;FRA;VALENCE TRIATHLON;
10;DELMAS;Justine;20050101;f;FRA;CNO ST-GERMAIN-EN-LAYE;
11;DUHAMEL;Cyrielle;20000101;f;FRA;STADE BêTHUNE PêLICAN CLUB;
12;FABRE;Margaux;19920101;f;FRA;CANET 66 NATATION;
13;FUCHS;Roman;19980101;m;FRA;AMIENS METROPOLE NAT.;
14;GROUSSET;Maxime;19990101;m;FRA;AMIENS METROPOLE NAT.;
15;HENIQUE;MÇlanie;19920101;f;FRA;CN MARSEILLE;
16;HERLEM;Antoine;19990101;m;FRA;DAUPHINS TOULOUSE OEC;
17;JOLY;Damien;19920101;m;FRA;MONTPELLIER METROPOLE NATATION;
18;MANAUDOU;Florent;19900101;m;FRA;CN MARSEILLE;
19;MARCHAND;LÇon;20020101;m;FRA;DAUPHINS TOULOUSE OEC;
20;MARTIN;Anouchka;19930101;f;FRA;CN MARSEILLE;
21;MATTENET;Emilien;20000101;m;FRA;CHARLEVILLE-MêZI‘RES NATATION;
22;METELLA;Mehdy;19920101;m;FRA;CN MARSEILLE;
23;NDOYE BROUARD;Yohann;20000101;m;FRA;DAUPHINS D'ANNECY;
24;NOWACZYK;Lison;20030101;f;FRA;STADE BêTHUNE PêLICAN CLUB;
25;OLIVIER;Marc-Antoine;19960101;m;FRA;DUNKERQUE NATATION;
26;ORANGE;Maxence;19980101;m;FRA;NANTES NATATION;
27;POTHAIN;Jordan;19940101;m;FRA;OLYMPIC NICE NATATION;
28;RIHOUX;Charles;19980101;m;FRA;OLYMPIC NICE NATATION;
29;TESIC;Enzo;20000101;m;FRA;AMIENS METROPOLE NAT.;
30;TESSARIOL;Lucile;20040101;f;FRA;SA MêRIGNAC;
31;TOMAC;Mewen;20010101;m;FRA;AMIENS METROPOLE NAT.;
32;TOUATI;Assia;19950101;f;FRA;DAUPHINS TOULOUSE OEC;
33;VIQUERAT;Antoine;19980101;m;FRA;DAUPHINS TOULOUSE OEC;
34;WATTEL;Marie;19970101;f;FRA;CN MARSEILLE;
35;KOLESNIKOV;Kliment;20000709;m;RUS;;
36;GLINTA;Robert-Andrei;19970418;m;ROU;;
37;GONZALEZ DE OLIVEIRA;Hugo;19990219;m;ESP;;
38;CHRISTOU;Apostolos;19961101;m;GRE;;
39;TARASEVICH;Grigory;19950801;m;RUS;;
40;STASELOVICH;Viktar;19940528;m;BLR;;
41;FERGUSON;Conor;19991011;m;IRL;;
42;SABBIONI;Simone;19961003;m;ITA;;
43;KROMOWIDJOJO;Ranomi;19900820;f;NED;;
44;BLUME;Pernille;19940514;f;DEN;CN MARSEILLE;
45;WASICK;Katarzyna;19920322;f;POL;;
46;KAMENEVA;Maria;19990527;f;RUS;;
47;HEEMSKERK;Femke;19870921;f;NED;;
48;HOPKIN;Anna;19960424;f;GBR;;
49;COLEMAN;Michelle;19931031;f;SWE;;
50;SEEMANOVA;Barbora;20000401;f;CZE;;
185;KIVIRINTA;Veera;19950406;f;FIN;;
186;CASTIGLIONI;Arianna;19970815;f;ITA;;
187;VASEY;Sarah;19960829;f;GBR;;
188;PILATO;Benedetta;20050118;f;ITA;;
189;EFIMOVA;Yuliya;19920403;f;RUS;;
190;HULKKO;Ida;19981212;f;FIN;;
191;HANSSON;Sophie;19980802;f;SWE;;
192;BELONOGOFF;Tatiana;20010716;f;RUS;;
193;MATZERATH;Lucas;20000503;m;GER;;
194;PINZUTTI;Alessandro;19990510;m;ITA;;
195;MARTINENGHI;Nicolo;19990801;m;ITA;;
196;PEATY;Adam;19941228;m;GBR;;
197;SHYMANOVICH;Ilya;19940802;m;BLR;;
198;KOZAKIEWICZ;Jan;19960224;m;POL;;
199;KAMMINGA;Arno;19951022;m;NED;;
200;PRIGODA;Kirill;19951229;m;RUS;;
201;NTOUNTOUNAKI;Anna;19950909;f;GRE;;
202;DE WAARD;Maaike;19961011;f;NED;;
203;BECKMANN;Emilie;19970204;f;DEN;;
204;SURKOVA;Arina;19980717;f;RUS;;
205;OTTESEN;Jeanette;19871230;f;DEN;;
206;JUNEVIK;Sara;20000214;f;SWE;;
207;CODIA;Piero;19891022;m;ITA;;
208;CECCON;Thomas;20010127;m;ITA;;
209;MINAKOV;Andrei;20020317;m;RUS;;
210;GOVOROV;Andriy;19920410;m;UKR;;
211;ZHILKIN;Andrey;19950309;m;RUS;;
212;SZABO;Szebasztian;19960311;m;HUN;;
213;KORSTANJE;Nyls;19990205;m;NED;;
214;CZERNIAK;Konrad;19890611;m;POL;;
215;ANDERSON;Freya;20010304;f;GBR;;
216;BRO;Signe;19990305;f;DEN;;
217;POPOVICI;David;20040915;m;ROU;;
218;MIRESSI;Alessandro;19981002;m;ITA;;
219;NEMETH;Nandor;19991119;m;HUN;;
220;MITYUKOV;Roman;20000730;m;SUI;;
221;DEAN;Thomas;20000502;m;GBR;;
222;WILD;Cassie;20000612;f;GBR;;
223;PILHATSCH;Caroline;19990301;f;AUT;;
224;FESIKOVA;Anastasia;19900508;f;RUS;;
225;DAWSON;Kathleen;19971003;f;GBR;;
226;TOUSSAINT;Kira;19940522;f;NED;;
227;JALLOW;Mimosa;19940617;f;FIN;;
228;JENSEN;Julie Kepp;20000103;f;DEN;;
229;ZAZZERI;Lorenzo;19940809;m;ITA;;
230;PROUD;Benjamin;19940921;m;GBR;;
231;LIUKKONEN;Ari-Pekka;19890209;m;FIN;;
232;GKOLOMEEV;Kristian;19930704;m;GRE;;
233;DE BOER;Thom;19911224;m;NED;;
234;SHKURDAI;Anastasiya;20030103;f;BLR;;
235;CHIMROVA;Svetlana;19960415;f;RUS;;
236;HANSSON;Louise;19961124;f;SWE;;
237;DI LIDDO;Elena;19930908;f;ITA;;
238;BIANCHI;Ilaria;19900106;f;ITA;;
239;VEKOVISCHCHEV;Mikhail;19980805;m;RUS;;
240;PONTI;Noe;20010601;m;SUI;;
241;MILADINOV;Josif;20030623;m;BUL;;
242;MILAK;Kristof;20000220;m;HUN;;
243;GUY;James;19951126;m;GBR;;
244;MAJERSKI;Jakub;20000818;m;POL;;
245;BURDISSO;Federico;20010920;m;ITA;;
246;RYLOV;Evgeny;19960923;m;RUS;;
247;GREENBANK;Luke;19970917;m;GBR;;
248;OEGRETIR;Berkay Oemer;19980216;m;TUR;;
249;WILBY;James;19931112;m;GBR;;
250;SIDLAUSKAS;Andrius;19970605;m;LTU;;
251;CROENEN;Louis;19940103;m;BEL;;
252;KENDERESI;Tamas;19961213;m;HUN;;
253;IVANOV;Antani;19990717;m;BUL;;
254;CARINI;Giacomo;19970702;m;ITA;;
255;KUDASHEV;Alexander;19951205;m;RUS;;
256;SKIERKA;Jakub;19981004;m;POL;;
257;TELEGDY;Adam;19951101;m;HUN;;
258;KAWECKI;Radoslaw;19910816;m;POL;;
259;MURDOCH;Ross;19940114;m;GBR;;
260;MATTSSON;Matti;19931005;m;FIN;;
261;PERSSON;Erik;19940112;m;SWE;;
262;CHUPKOV;Anton;19970222;m;RUS;;
263;CORBEAU;Caspar;20010304;m;NED;;
264;MUREZ;Andrea;19920129;f;ISR;;
265;DUMONT;Valentine;20000702;f;BEL;;
266;PELLEGRINI;Federica;19880805;f;ITA;;
267;FAIN;Katja;20010831;f;SLO;;
268;MROZINSKI;Julia;20000216;f;GER;;
269;DJAKOVIC;Antonio;20021008;m;SUI;;
270;MALYUTIN;Martin;19990705;m;RUS;;
271;SCOTT;Duncan W;19970506;m;GBR;;
272;RAPSYS;Danas;19950521;m;LTU;;
273;HANSON;Robin;20010402;m;SWE;;
274;STJEPANOVIC;Velimir;19930807;m;SRB;;
275;CSEH;Laszlo;19851203;m;HUN;;
276;DESPLANCHES;JÇrÇmy;19940807;m;SUI;;
277;KOS;Hubert;20030328;m;HUN;;
278;RAZZETTI;Alberto;19990602;m;ITA;;
