analyses.id;nageurs.id;prenom;nageurs.nom;sexe;anneeDeNaissance;nationalite;club;courses.id;dateCourse;competitions.nom;longueurBassin;distances.libelle;styles.libelle;rounds.libelle;tpsDebutCourse;tpsFinal;tpsReaction;tpsDecollagePieds;tpsVol;couloir
1;15;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;2;20210517;CE 2021 BUDAPEST;50;50;Nage Libre;Series;7,24;24,89;0,59;0,59;0,95;3
2;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;3;20210517;CE 2021 BUDAPEST;50;50;Dos;Series;9,79;24,96;0,62;0,62;0,68;3
3;26;Maxence;ORANGE;m;19980101;FRA;NANTES NATATION;3;20210517;CE 2021 BUDAPEST;50;50;Dos;Series;16,25;25,93;0,6;0,6;0,7;0
12;35;Kliment;KOLESNIKOV;m;20000709;RUS;;3;20210517;CE 2021 BUDAPEST;50;50;Dos;Series;0,8;24,23;0,69;0,69;0,77;4
9;7;Theo;BUSSIERE;m;19950101;FRA;CN MARSEILLE;4;20210517;CE 2021 BUDAPEST;50;100;Brasse;Series;14,24;61,4;0,69;0,69;1,08;7
10;33;Antoine;VIQUERAT;m;19980101;FRA;DAUPHINS TOULOUSE OEC;4;20210517;CE 2021 BUDAPEST;50;100;Brasse;Series;17,73;61,43;0,72;0,72;1,12;2
4;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;5;20210517;CE 2021 BUDAPEST;50;100;Papillon;Series;7,5;57,69;0,69;0,69;0,99;4
7;32;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;6;20210517;CE 2021 BUDAPEST;50;4x100;Nage Libre;Series;123,73;54,74;0,28;0,28;0,66;2
5;5;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;6;20210517;CE 2021 BUDAPEST;50;4x100;Nage Libre;Series;14,28;53,93;0,77;0,77;1,03;2
6;24;Lison;NOWACZYK;f;20030101;FRA;STADE BÉTHUNE PÉLICAN CLUB;6;20210517;CE 2021 BUDAPEST;50;4x100;Nage Libre;Series;68,24;55,51;0,49;0,49;0,73;2
8;20;Anouchka;MARTIN;f;19930101;FRA;CN MARSEILLE;6;20210517;CE 2021 BUDAPEST;50;4x100;Nage Libre;Series;178,45;55,07;0,26;0,26;0,66;2
