h;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
1;1;0;-1;-1;0;-1;50;24.89
2;2;0;6.87;-1;0;24.95;50;24.96
3;3;0;5.86;-1;0;25.62;50;25.93
4;4;0;-1;-1;0;-1;50;26.49
5;4;50;-1;-1;0;-1;100;57.69
6;5;0;5.28;-1;0;24.7;50;25.77
7;5;50;29.07;-1;0;53.73;100;53.93
8;6;0;5.23;-1;0;24.81;50;26.06
9;6;50;29.12;-1;0;55.23;100;55.51
10;7;0;4.69;-1;0;24.66;50;26.1
11;7;50;29.56;-1;0;54.3;100;54.74
12;8;0;4.87;-1;0;25.19;50;26.46
13;8;50;29.86;-1;0;54.82;100;55.07
14;9;0;6.09;-1;0;28.18;50;28.98
15;9;50;35.18;-1;0;60.23;100;61.4
16;10;0;7.06;-1;0;28.07;50;28.4
17;10;50;35.24;-1;0;60.78;100;61.43
18;11;0;-1;-1;0;-1;50;26.89
19;11;50;-1;-1;0;-1;100;55.75
20;11;100;-1;-1;0;-1;150;84.71
21;11;150;-1;-1;0;-1;200;114.03
22;11;200;-1;-1;0;-1;250;143.02
23;11;250;-1;-1;0;-1;300;172.27
24;11;300;-1;-1;0;-1;350;201.59
25;11;350;-1;-1;0;-1;400;230.48
26;12;0;5.93;-1;0;24.05;50;24.23
27;13;0;5.6;-1;0;24.56;50;25.08
28;14;0;6.7;-1;0;24.58;50;25.11
29;15;0;6.91;-1;0;26.24;50;27.02
30;15;50;33.37;-1;0;57.04;100;57.48
31;16;0;5.82;-1;0;24.92;50;26.1
32;16;50;29.72;-1;0;53.58;100;53.97
33;17;0;4.38;-1;0;24.59;50;25.6
34;17;50;28.47;-1;0;52.89;100;53.36
35;18;0;4.35;-1;0;24.51;50;25.64
36;18;50;29.01;-1;0;53.91;100;54.25
37;19;0;4.77;-1;0;24.62;50;25.79
38;19;50;29.05;-1;0;54.14;100;54.34
39;20;0;4.45;-1;0;22.39;50;23.31
40;20;50;26.73;-1;0;48.11;100;48.36
41;21;0;4.43;-1;0;22.84;50;23.77
42;21;50;26.74;-1;0;49.32;100;49.35
43;22;0;5.46;-1;0;22.44;50;23.37
44;22;50;26.89;-1;0;49.02;100;49.04
45;23;0;6.02;-1;0;25.86;50;26.11
46;23;50;33.02;-1;0;54.91;100;55.4
47;23;100;60.95;-1;0;85.4;150;85.59
48;23;150;91.24;-1;0;115.88;200;116.33
49;24;0;4.62;-1;0;27.11;50;28.4
50;24;50;30.89;-1;0;57.39;100;58.62
51;24;100;60.97;-1;0;87.36;150;88.78
52;24;150;91.11;-1;0;117.81;200;119.01
53;24;200;121.37;-1;0;147.69;250;149
54;24;250;151.49;-1;0;177.87;300;179.13
55;24;300;181.43;-1;0;207.75;350;209.01
56;24;350;211.67;-1;0;238.05;400;239.21
57;24;400;241.63;-1;0;267.43;450;268.96
58;24;450;271.55;-1;0;297.53;500;298.98
59;24;500;301.53;-1;0;327.59;550;328.86
60;24;550;331.32;-1;0;357.67;600;358.87
61;24;600;361.29;-1;0;387.21;650;388.62
62;24;650;391.09;-1;0;417.05;700;418.55
63;24;700;420.91;-1;0;446.85;750;448.38
64;24;750;450.74;-1;0;477.05;800;478.37
65;24;800;480.67;-1;0;506.91;850;508.13
66;24;850;510.59;-1;0;536.24;900;537.78
67;24;900;540.13;-1;0;566.37;950;567.62
68;24;950;570.07;-1;0;596.19;1000;597.45
69;24;1000;599.73;-1;0;625.95;1050;627.22
70;24;1050;629.63;-1;0;655.73;1100;657.01
71;24;1100;659.37;-1;0;685.56;1150;686.84
72;24;1150;689.35;-1;0;715.41;1200;716.74
73;24;1200;719.07;-1;0;745.2;1250;746.52
74;24;1250;748.87;-1;0;775.41;1300;776.7
75;24;1300;778.86;-1;0;805.61;1350;806.83
76;24;1350;809.23;-1;0;835.77;1400;837
77;24;1400;839.29;-1;0;865.61;1450;866.89
78;24;1450;869.27;-1;0;895.21;1500;896.09
79;25;0;4.44;-1;0;22.35;50;23.31
80;25;50;26.89;-1;0;48.03;100;48.09
81;26;0;6.86;-1;0;26.87;50;26.88
82;26;50;33.44;-1;0;57.35;100;57.37
83;27;0;5.79;-1;0;26.01;50;26.05
84;27;50;31.47;-1;0;55.95;100;55.98
85;27;100;61.94;-1;0;86.14;150;86.17
86;27;150;91.74;-1;0;117.76;200;117.77
87;28;0;6.01;-1;0;26.55;50;26.6
88;28;50;32.35;-1;0;58.03;100;58.08
89;28;100;63.91;-1;0;92.2;150;93.43
90;28;150;97.01;-1;0;122.17;200;122.29
