analyses.id;nageurs.id;prenom;nageurs.nom;sexe;anneeDeNaissance;nationalite;club;courses.id;dateCourse;competitions.nom;longueurBassin;distances.libelle;styles.libelle;rounds.libelle;tpsDebutCourse;tpsFinal;tpsReaction;tpsDecollagePieds;tpsVol;couloir
1;270;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;1;20210319;GFT 2021 MARSEILLE;50;100;Dos;Series;7,55;53,1;0,5;0,5;0,62;4
2;197;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;1;20210319;GFT 2021 MARSEILLE;50;100;Dos;Series;8;53,21;0,5;0,5;0,59;5
235;168;Pauline;MAHIEU;f;19990101;FRA;CANET 66 NATATION;1;20210319;GFT 2021 MARSEILLE;50;100;Dos;Series;18,95;61,59;0,5;0,5;0,55;3
233;191;Mary-Ambre;MOLUH;f;20050101;FRA;U.S CRETEIL NATATION;1;20210319;GFT 2021 MARSEILLE;50;100;Dos;Series;11,41;62,92;0,5;0,5;0,61;3
234;51;Mathilde;CINI;f;19940101;FRA;VALENCE TRIATHLON;1;20210319;GFT 2021 MARSEILLE;50;100;Dos;Series;11,35;61,57;0,5;0,5;0,66;5
236;16;Paul-Gabriel;BEDEL;m;19940101;FRA;CN MARSEILLE;1;20210319;GFT 2021 MARSEILLE;50;100;Dos;Series;8,01;55,35;0,5;0,5;0,7;3
237;202;Maxence;ORANGE;m;19980101;FRA;NANTES NATATION;1;20210319;GFT 2021 MARSEILLE;50;100;Dos;Series;8,05;54,46;0,5;0,5;0,62;5
238;129;Stanislas;HUILLE;m;19990101;FRA;SN VERSAILLES;1;20210319;GFT 2021 MARSEILLE;50;100;Dos;Series;4,77;54,78;0,5;0,5;0,62;3
6;67;Justine;DELMAS;f;20050101;FRA;CNO ST-GERMAIN-EN-LAYE;2;20210319;GFT 2021 MARSEILLE;50;50;Brasse;Series;6,89;31,89;0,6;0,6;0,82;6
8;77;Cyrielle;DUHAMEL;f;20000101;FRA;STADE BÉTHUNE PÉLICAN CLUB;2;20210319;GFT 2021 MARSEILLE;50;50;Brasse;Series;6,65;32,08;0,6;0,6;0,82;3
7;95;Solène;GALLEGO;f;19950101;FRA;CANET 66 NATATION;2;20210319;GFT 2021 MARSEILLE;50;50;Brasse;Series;8,41;31,92;0,6;0,6;0,94;3
3;281;Antoine;VIQUERAT;m;19980101;FRA;DAUPHINS TOULOUSE OEC;2;20210319;GFT 2021 MARSEILLE;50;50;Brasse;Series;10,01;28,31;0,6;0,6;0,97;3
4;276;Julien;VALOUR;m;20010101;FRA;CN MARSEILLE;2;20210319;GFT 2021 MARSEILLE;50;50;Brasse;Series;9,96;28,45;0,6;0,6;0,99;6
5;1;Carl;AITKACI;m;20010101;FRA;ETOILES 92;2;20210319;GFT 2021 MARSEILLE;50;50;Brasse;Series;6,3;28,51;0,6;0,6;0,99;3
12;109;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;3;20210319;GFT 2021 MARSEILLE;50;50;Nage Libre;Series;6,31;22,42;0,6;0,6;0,98;4
9;173;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;3;20210319;GFT 2021 MARSEILLE;50;50;Nage Libre;Series;15,35;21,87;0,6;0,6;1,04;4
10;189;Clément;MIGNON;m;19930101;FRA;CN MARSEILLE;3;20210319;GFT 2021 MARSEILLE;50;50;Nage Libre;Series;15,35;22,51;0,6;0,6;1;5
11;18;Julien;BEROL;m;20010101;FRA;CN MARSEILLE;3;20210319;GFT 2021 MARSEILLE;50;50;Nage Libre;Series;15,33;22,66;0,6;0,6;1;8
208;118;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;4;20210319;GFT 2021 MARSEILLE;50;50;Papillon;Series;6,75;25,77;0,6;0,6;0,96;4
207;25;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;4;20210319;GFT 2021 MARSEILLE;50;50;Papillon;Series;6,84;26,56;0,6;0,6;0,87;3
206;196;Maty;NDOYE BROUARD;f;20040101;FRA;DAUPHINS D'ANNECY;4;20210319;GFT 2021 MARSEILLE;50;50;Papillon;Series;6,83;27,44;0,6;0,6;0,9;2
204;284;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;4;20210319;GFT 2021 MARSEILLE;50;50;Papillon;Series;6,57;25,91;0,6;0,6;0,91;4
205;68;Lucie;DELMAS;f;20050101;FRA;CNO ST-GERMAIN-EN-LAYE;4;20210319;GFT 2021 MARSEILLE;50;50;Papillon;Series;9,31;27,15;0,6;0,6;0,9;6
53;191;Mary-Ambre;MOLUH;f;20050101;FRA;U.S CRETEIL NATATION;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;9,75;62,47;0,5;0,5;0,62;1
54;51;Mathilde;CINI;f;19940101;FRA;VALENCE TRIATHLON;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;9,59;62,15;0,6;0,6;0,76;2
55;65;Maaike;DE WAARD;f;19960101;NED;PAYS-BAS;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;9,71;61,56;0,5;0,5;0,58;3
56;272;Kira;TOUSSAINT;f;19940101;NED;PAYS-BAS;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;9,61;59,84;0,5;0,5;0,6;4
57;147;Simona;KUBOVA;f;19910101;CZE;RÉPUBLIQUE TCHÈQUE;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;9,65;61,05;0,5;0,5;0,58;5
58;53;Michelle;COLEMAN;f;19930101;SWE;SUÈDE;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;9,72;61,01;0,5;0,5;0,73;6
59;168;Pauline;MAHIEU;f;19990101;FRA;CANET 66 NATATION;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;9,75;61,81;0,5;0,5;0,54;7
60;217;Caroline;PILHATSCH;f;19990101;AUT;AUTRICHE;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;9,67;63,51;0,5;0,5;0,64;8
61;16;Paul-Gabriel;BEDEL;m;19940101;FRA;CN MARSEILLE;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;12,29;55,46;0,5;0,5;0,72;1
62;129;Stanislas;HUILLE;m;19990101;FRA;SN VERSAILLES;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;12,33;54,6;0,5;0,5;0,64;2
63;202;Maxence;ORANGE;m;19980101;FRA;NANTES NATATION;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;12,37;54,33;0,5;0,5;0,64;3
64;270;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;12,31;53,19;0,5;0,5;0,59;4
65;197;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;12,27;52,97;0,5;0,5;0,56;5
66;170;Evangelos;MAKRYGIANNIS;m;20000101;GRE;GRÈCE;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;12,3;54,17;0,5;0,5;0,62;6
67;190;Roman;MITYUKOV;m;20000101;SUI;GENÈVE NATATION 1885;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;12,25;54,52;0,5;0,5;0,58;7
68;49;Apostolos;CHRISTOU;m;19960101;GRE;GRÈCE;5;20210319;GFT 2021 MARSEILLE;50;100;Dos;Finale;12,29;53,71;0,5;0,5;0,6;8
21;77;Cyrielle;DUHAMEL;f;20000101;FRA;STADE BÉTHUNE PÉLICAN CLUB;6;20210319;GFT 2021 MARSEILLE;50;50;Brasse;Finale;7,66;32,13;0,6;0,6;0,83;1
22;172;Lisa;MAMIE';f;19980101;SUI;RARI NANTES TORINO;6;20210319;GFT 2021 MARSEILLE;50;50;Brasse;Finale;7,77;31,52;0,6;0,6;0,88;2
23;67;Justine;DELMAS;f;20050101;FRA;CNO ST-GERMAIN-EN-LAYE;6;20210319;GFT 2021 MARSEILLE;50;50;Brasse;Finale;7,71;31,89;0,6;0,6;0,82;3
