id;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
1;1;0;5.86;-1;0;24.88;50;25.87
2;1;50;31.64;-1;0;52.5;100;53.1
3;2;0;5.9;-1;0;24.79;50;25.95
4;2;50;32.03;-1;0;52.78;100;53.21
5;3;0;6.08;-1;0;27.56;50;28.31
6;4;0;5.7;-1;0;28.08;50;28.45
7;5;0;5.55;-1;0;28.01;50;28.51
8;6;0;5.84;-1;0;30.95;50;31.89
9;7;0;6.09;-1;0;31.06;50;31.92
10;8;0;5.63;-1;0;31.74;50;32.08
11;9;0;4.82;-1;0;21.72;50;21.87
12;10;0;4.82;-1;0;22.18;50;22.51
13;11;0;4.34;-1;0;22.5;50;22.66
14;12;0;4.88;-1;0;22.24;50;22.42
15;13;0;5.67;-1;0;27.38;50;27.93
16;14;0;6.28;-1;0;27.41;50;28.3
17;15;0;6.01;-1;0;27.12;50;27.9
18;16;0;5.96;-1;0;26.08;50;27.45
19;17;0;5.82;-1;0;26.93;50;27.37
20;18;0;6.16;-1;0;27.15;50;28.27
21;19;0;4.92;-1;0;27.36;50;28.39
22;20;0;5.79;-1;0;27.41;50;28.32
23;21;0;5.78;-1;0;31.34;50;32.13
24;22;0;6.28;-1;0;30.82;50;31.52
25;23;0;5.79;-1;0;31.04;50;31.89
26;24;0;6.04;-1;0;30.01;50;30.9
27;25;0;6;-1;0;30.8;50;31.69
28;26;0;5.89;-1;0;31.56;50;32.42
29;27;0;5.78;-1;0;31.62;50;31.91
30;28;0;5.97;-1;0;31.71;50;32.23
31;29;0;4.24;-1;0;22.32;50;22.72
32;30;0;4.5;-1;0;22;50;22.41
33;31;0;4.43;-1;0;22.08;50;22.44
34;32;0;4.68;-1;0;21.44;50;21.72
35;33;0;5.03;-1;0;21.83;50;22.23
36;34;0;4.51;-1;0;22.06;50;22.43
37;35;0;5.35;-1;0;21.91;50;22.75
38;36;0;5.49;-1;0;22.52;50;22.59
39;37;0;6.41;-1;0;26.52;50;27.16
40;38;0;-1;-1;0;-1;50;26.56
41;39;0;-1;-1;0;-1;50;26.23
42;40;0;-1;-1;0;-1;50;25.47
43;41;0;5.5;-1;0;25.24;50;25.59
44;42;0;5.61;-1;0;26.27;50;26.36
45;43;0;6.74;-1;0;26.84;50;27.06
46;44;0;6.12;-1;0;27.44;50;27.6
47;45;0;6.22;-1;0;24.63;50;24.7
48;45;50;32.85;-1;0;53.37;100;53.41
49;46;0;5.71;-1;0;24.26;50;25.06
50;46;50;31.07;-1;0;53.41;100;53.53
51;47;0;6.17;-1;0;24.63;50;24.69
52;47;50;32.94;-1;0;52;100;52.02
53;48;0;5.52;-1;0;24.8;50;24.91
54;48;50;31.98;-1;0;51.48;100;51.89
55;49;0;5.57;-1;0;24.01;50;24.2
56;49;50;30.28;-1;0;52.9;100;52.93
57;50;0;6;-1;0;24.46;50;24.48
58;50;50;30.67;-1;0;52.6;100;52.92
59;51;0;5.73;-1;0;24.01;50;24.82
60;51;50;30.24;-1;0;52.89;100;53.74
61;52;0;5.54;-1;0;24.36;50;25.14
62;52;50;30.56;-1;0;53.04;100;53.56
63;53;0;7.2;-1;0;27.96;50;29.69
64;53;50;34.45;-1;0;61.86;100;62.47
65;54;0;6.9;-1;0;29.08;50;30.07
66;54;50;36.17;-1;0;61.48;100;62.15
67;55;0;6.68;-1;0;28.12;50;29.66
68;55;50;36.47;-1;0;60.84;100;61.56
69;56;0;6.56;-1;0;27.7;50;28.77
70;56;50;35.9;-1;0;59.52;100;59.84
71;57;0;7.46;-1;0;28.46;50;29.74
72;57;50;37.01;-1;0;60.12;100;61.05
73;58;0;7.07;-1;0;28.27;50;29.71
74;58;50;35.22;-1;0;60.07;100;61.01
75;59;0;7.06;-1;0;28.88;50;30.23
76;59;50;35.08;-1;0;61.48;100;61.81
77;60;0;7.48;-1;0;28.84;50;30.03
78;60;50;36.27;-1;0;62.78;100;63.51
79;61;0;6.5;-1;0;25.74;50;27.06
80;61;50;32.93;-1;0;54.89;100;55.46
