id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
1;1;5;-1;5.86;0;6.22;15;6.22
2;1;15;6.22;6.22;4;11.44;25;11.44
3;1;25;11.44;11.44;9;22.78;45;22.78
4;1;55;27;31.64;1;32.98;65;32.98
5;1;65;32.98;32.98;5;38.7;75;38.7
6;1;75;38.7;38.7;9;50.22;95;50.22
7;2;5;-1;5.9;0;6.43;15;6.43
8;2;15;6.43;6.43;4;11.63;25;11.63
9;2;25;11.63;11.63;9;22.95;45;22.95
10;2;55;27.07;32.03;1;33.01;65;33.01
11;2;65;33.01;33.01;5;38.73;75;38.73
12;2;75;38.73;38.73;9;50.37;95;50.37
13;3;5;-1;6.08;0;6.38;15;6.38
14;3;15;6.38;6.38;6;12.49;25;12.49
15;3;25;12.49;12.49;13;25.3;45;25.3
16;4;5;-1;5.7;1;6.73;15;6.73
17;4;15;6.73;6.73;7;12.57;25;12.57
18;4;25;12.57;12.57;14;25.26;45;25.26
19;5;5;-1;5.55;1;6.73;15;6.73
20;5;15;6.73;6.73;6;12.71;25;12.71
21;5;25;12.71;12.71;13;25.74;45;25.74
22;6;5;-1;5.84;2;8.03;15;8.03
23;6;15;8.03;8.03;7;14.6;25;14.6
24;6;25;14.6;14.6;13;28.51;45;28.51
25;7;5;-1;6.09;1;7.5;15;7.5
26;7;15;7.5;7.5;7;14.32;25;14.32
27;7;25;14.32;14.32;14;28.6;45;28.6
28;8;5;-1;5.63;2;7.93;15;7.93
29;8;15;7.93;7.93;6;14.64;25;14.64
30;8;25;14.64;14.64;12;28.85;45;28.85
31;9;5;-1;4.82;1;5.49;15;5.49
32;9;15;5.49;5.49;5;9.88;25;9.88
33;9;25;9.88;9.88;10;19.62;45;19.62
34;10;5;-1;4.82;1;5.76;15;5.76
35;10;15;5.76;5.76;5;10.28;25;10.28
36;10;25;10.28;10.28;10;20.28;45;20.28
37;11;5;-1;4.34;2;6.01;15;6.01
38;11;15;6.01;6.01;4;10.52;25;10.52
39;11;25;10.52;10.52;9;20.52;45;20.52
40;12;5;-1;4.88;1;5.57;15;5.57
41;12;15;5.57;5.57;5;10.18;25;10.18
42;12;25;10.18;10.18;10;20.19;45;20.19
43;13;5;-1;5.67;1;6.56;15;6.56
44;13;15;6.56;6.56;7;12.47;25;12.47
45;13;25;12.47;12.47;14;25.19;45;25.19
46;14;5;-1;6.28;0;6.54;15;6.54
47;14;15;6.54;6.54;6;12.61;25;12.61
48;14;25;12.61;12.61;13;25.24;45;25.24
49;15;5;-1;6.01;0;6.36;15;6.36
50;15;15;6.36;6.36;6;12.41;25;12.41
51;15;25;12.41;12.41;13;24.98;45;24.98
52;16;5;-1;5.96;1;6.6;15;6.6
53;16;15;6.6;6.6;6;12.48;25;12.48
54;16;25;12.48;12.48;13;24.77;45;24.77
55;17;5;-1;5.82;0;6.73;15;6.73
56;17;15;6.73;6.73;5;12.38;25;12.38
57;17;25;12.38;12.38;12;24.63;45;24.63
58;18;5;-1;6.16;0;6.56;15;6.56
59;18;15;6.56;6.56;6;12.59;25;12.59
60;18;25;12.59;12.59;13;25.02;45;25.02
61;19;5;-1;4.92;2;6.89;15;6.89
62;19;15;6.89;6.89;7;12.9;25;12.9
63;19;25;12.9;12.9;14;25.3;45;25.3
64;20;5;-1;5.79;1;6.53;15;6.53
65;20;15;6.53;6.53;6;12.55;25;12.55
66;20;25;12.55;12.55;13;25.29;45;25.29
67;21;5;-1;5.78;2;7.93;15;7.93
68;21;15;7.93;7.93;6;14.7;25;14.7
69;21;25;14.7;14.7;12;28.61;45;28.61
70;22;5;-1;6.28;2;7.69;15;7.69
71;22;15;7.69;7.69;7;14.16;25;14.16
72;22;25;14.16;14.16;14;28.02;45;28.02
73;23;5;-1;5.79;2;7.95;15;7.95
74;23;15;7.95;7.95;7;14.6;25;14.6
75;23;25;14.6;14.6;14;28.63;45;28.63
76;24;5;-1;6.04;1;7.38;15;7.38
77;24;15;7.38;7.38;6;13.95;25;13.95
78;24;25;13.95;13.95;13;27.64;45;27.64
79;25;5;-1;6;2;7.82;15;7.82
80;25;15;7.82;7.82;7;14.45;25;14.45
81;25;25;14.45;14.45;13;28.37;45;28.37
82;26;5;-1;5.89;2;7.68;15;7.68
83;26;15;7.68;7.68;6;14.48;25;14.48
84;26;25;14.48;14.48;14;28.94;45;28.94
85;27;5;-1;5.78;2;7.79;15;7.79
86;27;15;7.79;7.79;6;14.52;25;14.52
87;27;25;14.52;14.52;14;28.35;45;28.35
88;28;5;-1;5.97;2;7.89;15;7.89
89;28;15;7.89;7.89;7;14.48;25;14.48
90;28;25;14.48;14.48;15;28.58;45;28.58
91;29;5;-1;4.24;2;5.84;15;5.84
92;29;15;5.84;5.84;4;10.48;25;10.48
93;29;25;10.48;10.48;9;20.48;45;20.48
94;30;5;-1;4.5;1;5.53;15;5.53
95;30;15;5.53;5.53;5;10.11;25;10.11
96;30;25;10.11;10.11;10;20.07;45;20.07
97;31;5;-1;4.43;1;5.6;15;5.6
98;31;15;5.6;5.6;5;10.1;25;10.1
99;31;25;10.1;10.1;10;20.06;45;20.06
100;32;5;-1;4.68;1;5.29;15;5.29
101;32;15;5.29;5.29;5;9.73;25;9.73
102;32;25;9.73;9.73;10;19.52;45;19.52
103;33;5;-1;5.03;0;5.45;15;5.45
104;33;15;5.45;5.45;5;9.96;25;9.96
105;33;25;9.96;9.96;10;19.88;45;19.88
106;34;5;-1;4.51;1;5.55;15;5.55
107;34;15;5.55;5.55;5;10.14;25;10.14
108;34;25;10.14;10.14;10;20.01;45;20.01
109;35;5;-1;5.35;0;5.41;15;5.41
110;35;15;5.41;5.41;5;10.21;25;10.21
111;35;25;10.21;10.21;10;20.25;45;20.25
112;36;5;-1;5.49;0;5.5;15;5.5
113;36;15;5.5;5.5;5;9.99;25;9.99
114;36;25;9.99;9.99;10;20.25;45;20.25
115;37;5;-1;6.41;0;6.7;15;6.7
116;37;15;6.7;6.7;6;12.1;25;12.1
117;37;25;12.1;12.1;12;24.1;45;24.1
118;38;5;-1;5.46;1;6.38;15;6.38
119;38;15;6.38;6.38;6;11.89;25;11.89
120;38;25;11.89;11.89;12;23.75;45;23.75
121;39;5;-1;4.95;1;6.29;15;6.29
122;39;15;6.29;6.29;5;11.7;25;11.7
123;39;25;11.7;11.7;11;23.39;45;23.39
124;40;5;-1;6.07;0;6.07;15;6.07
125;40;15;6.07;6.07;6;11.41;25;11.41
126;40;25;11.41;11.41;12;22.76;45;22.76
127;41;5;-1;5.5;1;6;15;6
128;41;15;6;6;6;11.47;25;11.47
129;41;25;11.47;11.47;12;22.86;45;22.86
130;42;5;-1;5.61;1;6.13;15;6.13
131;42;15;6.13;6.13;6;11.73;25;11.73
132;42;25;11.73;11.73;13;23.7;45;23.7
133;43;5;-1;-1;-1;-1;15;6.4
134;43;15;6.4;6.74;5;12.12;25;12.12
135;43;25;12.12;12.12;11;24;45;24
136;44;5;-1;6.12;1;6.69;15;6.69
137;44;15;6.69;6.69;5;12.47;25;12.47
138;44;25;12.47;12.47;12;24.5;45;24.5
139;45;5;-1;-1;-1;-1;15;5.7
140;45;15;5.7;6.22;5;11.08;25;11.08
141;45;25;11.08;11.08;10;22.05;45;22.05
142;45;55;26.82;-1;-1;-1;65;32.65
143;45;65;32.65;32.85;5;38.81;75;38.81
144;45;75;38.81;38.81;11;50.72;95;50.72
145;46;5;-1;5.71;0;5.75;15;5.75
146;46;15;5.75;5.75;5;11.14;25;11.14
147;46;25;11.14;11.14;10;22.38;45;22.38
148;46;55;27.14;31.07;2;33.19;65;33.19
149;46;65;33.19;33.19;5;38.79;75;38.79
150;46;75;38.79;38.79;11;50.78;95;50.78
151;47;5;-1;-1;-1;-1;15;5.65
152;47;15;5.65;6.17;4;10.79;25;10.79
153;47;25;10.79;10.79;9;21.89;45;21.89
154;47;55;26.7;-1;-1;-1;65;32.39
155;47;65;32.39;32.94;4;37.94;75;37.94
156;47;75;37.94;37.94;10;49.18;95;49.18
157;48;5;-1;5.52;0;5.73;15;5.73
158;48;15;5.73;5.73;5;10.98;25;10.98
159;48;25;10.98;10.98;10;22.1;45;22.1
160;48;55;26.8;31.98;0;32.4;65;32.4
161;48;65;32.4;32.4;5;37.83;75;37.83
162;48;75;37.83;37.83;11;49.12;95;49.12
163;49;5;-1;5.57;0;5.57;15;5.55
164;49;15;5.55;5.57;5;10.69;25;10.69
165;49;25;10.69;10.69;10;21.63;45;21.63
166;49;55;26.53;30.28;2;32.33;65;32.33
167;49;65;32.33;32.33;5;38.07;75;38.07
168;49;75;38.07;38.07;11;49.98;95;49.98
169;50;5;-1;-1;-1;-1;15;5.92
170;50;15;5.92;6;5;11.06;25;11.06
171;50;25;11.06;11.06;10;21.81;45;21.81
172;50;55;26.73;30.67;2;32.66;65;32.66
173;50;65;32.66;32.66;5;38.18;75;38.18
174;50;75;38.18;38.18;11;50.12;95;50.12
175;51;5;-1;5.73;0;6;15;6
176;51;15;6;6;5;11.09;25;11.09
177;51;25;11.09;11.09;11;22.2;45;22.2
178;51;55;27.01;30.24;3;33.13;65;33.13
179;51;65;33.13;33.13;5;38.69;75;38.69
180;51;75;38.69;38.69;11;50.94;95;50.94
181;52;5;-1;5.54;0;5.81;15;5.81
182;52;15;5.81;5.81;5;10.98;25;10.98
183;52;25;10.98;10.98;10;22.43;45;22.43
184;52;55;27.12;30.56;2;33.21;65;33.21
185;52;65;33.21;33.21;5;38.99;75;38.99
186;52;75;38.99;38.99;9;50.91;95;50.91
187;53;5;-1;7.2;0;7.42;15;7.42
188;53;15;7.42;7.42;5;13.34;25;13.34
189;53;25;13.34;13.34;10;26.22;45;26.22
190;53;55;31.45;34.45;3;38.29;65;38.29
191;53;65;38.29;38.29;5;45.13;75;45.13
192;53;75;45.13;45.13;10;59.25;95;59.25
193;54;5;-1;6.9;0;7.26;15;7.26
194;54;15;7.26;7.26;5;13.44;25;13.44
195;54;25;13.44;13.44;10;26.61;45;26.61
196;54;55;31.62;36.17;1;38.29;65;38.29
197;54;65;38.29;38.29;5;45.05;75;45.05
198;54;75;45.05;45.05;10;59.08;95;59.08
199;55;5;-1;6.68;0;7.02;15;7.02
200;55;15;7.02;7.02;5;13.22;25;13.22
201;55;25;13.22;13.22;10;26.22;45;26.22
202;55;55;31.12;36.47;2;37.82;65;37.82
203;55;65;37.82;37.82;5;44.7;75;44.7
204;55;75;44.7;44.7;11;58.3;95;58.3
205;56;5;-1;6.56;0;6.87;15;6.87
206;56;15;6.87;6.87;5;12.85;25;12.85
207;56;25;12.85;12.85;11;25.48;45;25.48
208;56;55;30.04;35.9;1;36.46;65;36.46
209;56;65;36.46;36.46;6;42.92;75;42.92
210;56;75;42.92;42.92;12;56.66;95;56.66
211;57;5;-1;-1;-1;-1;15;7.1
212;57;15;7.1;7.46;5;13.28;25;13.28
213;57;25;13.28;13.28;11;26.38;45;26.38
214;57;55;31.11;37.01;1;37.61;65;37.61
215;57;65;37.61;37.61;5;44.18;75;44.18
216;57;75;44.18;44.18;11;57.52;95;57.52
217;58;5;-1;7.07;0;7.07;15;7.07
218;58;15;7.07;7.07;5;13.11;25;13.11
219;58;25;13.11;13.11;9;26.31;45;26.31
220;58;55;30.86;35.22;2;37.59;65;37.59
221;58;65;37.59;37.59;5;44.36;75;44.36
222;58;75;44.36;44.36;10;57.9;95;57.9
223;59;5;-1;7.06;0;7.36;15;7.36
224;59;15;7.36;7.36;4;13.4;25;13.4
225;59;25;13.4;13.4;9;26.53;45;26.53
226;59;55;31.67;35.08;2;38.54;65;38.54
227;59;65;38.54;38.54;5;45.08;75;45.08
228;59;75;45.08;45.08;9;58.48;95;58.48
229;60;5;-1;-1;-1;-1;15;7.16
230;60;15;7.16;7.48;5;13.27;25;13.27
231;60;25;13.27;13.27;10;26.46;45;26.46
232;60;55;31.37;36.27;2;38.57;65;38.57
233;60;65;38.57;38.57;5;45.58;75;45.58
234;60;75;45.58;45.58;10;60.15;95;60.15
235;61;5;-1;-1;-1;-1;15;6.4
236;61;15;6.4;6.5;4;11.87;25;11.87
237;61;25;11.87;11.87;9;24.08;45;24.08
238;61;55;28.36;32.93;1;34.52;65;34.52
239;61;65;34.52;34.52;5;40.5;75;40.5
240;61;75;40.5;40.5;10;52.49;95;52.49
241;62;5;-1;-1;-1;-1;15;6.06
242;62;15;6.06;6.54;4;11.48;25;11.48
243;62;25;11.48;11.48;10;23.28;45;23.28
244;62;55;27.45;33.12;0;33.12;65;33.12
245;62;65;33.12;33.12;5;39.1;75;39.1
246;62;75;39.1;39.1;10;51.62;95;51.62
247;63;5;-1;6.02;0;6.47;15;6.47
248;63;15;6.47;6.47;5;11.85;25;11.85
249;63;25;11.85;11.85;9;23.41;45;23.41
250;63;55;27.72;31.22;2;33.92;65;33.92
251;63;65;33.92;33.92;4;39.62;75;39.62
252;63;75;39.62;39.62;9;51.52;95;51.52
253;64;5;-1;6.14;0;6.3;15;6.3
254;64;15;6.3;6.3;4;11.7;25;11.7
255;64;25;11.7;11.7;9;23.07;45;23.07
256;64;55;27.17;32.1;1;33.06;65;33.06
257;64;65;33.06;33.06;5;38.84;75;38.84
258;64;75;38.84;38.84;9;50.38;95;50.38
259;65;5;-1;5.78;1;6.38;15;6.38
260;65;15;6.38;6.38;4;11.58;25;11.58
261;65;25;11.58;11.58;9;22.72;45;22.72
262;65;55;26.85;31.89;1;32.76;65;32.76
263;65;65;32.76;32.76;5;38.48;75;38.48
264;65;75;38.48;38.48;9;50.03;95;50.03
265;66;5;-1;-1;-1;-1;15;6.33
266;66;15;6.33;6.51;4;11.63;25;11.63
267;66;25;11.63;11.63;9;23.15;45;23.15
