analyses.id;nageurs.id;prenom;nageurs.nom;sexe;anneeDeNaissance;nationalite;club;courses.id;dateCourse;competitions.nom;longueurBassin;distances.libelle;styles.libelle;rounds.libelle;tpsDebutCourse;tpsFinal;tpsReaction;tpsDecollagePieds;tpsVol;couloir
1;41;Fanny;DEBERGHES;f;19940101;FRA;AAS SARCELLES NATATION 95;1;20210529;MN 2021 MONACO;50;100;Brasse;Series;10,33;70,11;0,7;0,7;1,08;5
2;123;Ladislas;SALCZER;m;20000101;FRA;OLYMPIC NICE NATATION;2;20210529;MN 2021 MONACO;50;100;Dos;Series;9,56;56,45;0,53;0,53;0,69;4
3;119;Christophe;BRUN;m;19980101;FRA;CN ANTIBES;2;20210529;MN 2021 MONACO;50;100;Dos;Series;9,56;56,51;0,63;0,63;0,71;5
4;122;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;2;20210529;MN 2021 MONACO;50;100;Dos;Series;6,08;55,29;0,61;0,61;0,68;4
5;89;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;3;20210529;MN 2021 MONACO;50;100;Nage Libre;Series;0;49,04;0,63;0,63;-1;4
6;59;Clément;MIGNON;m;19930101;FRA;CN MARSEILLE;3;20210529;MN 2021 MONACO;50;100;Nage Libre;Series;0;49,29;0,62;0,62;-1;4
7;92;Charles;RIHOUX;m;19980101;FRA;OLYMPIC NICE NATATION;3;20210529;MN 2021 MONACO;50;100;Nage Libre;Series;0;49,36;0,65;0,65;-1;3
8;94;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;3;20210529;MN 2021 MONACO;50;100;Nage Libre;Series;0;49,87;0,64;0,64;-1;6
17;37;Fantine;LESAFFRE;f;19940101;FRA;CN ANTIBES;5;20210529;MN 2021 MONACO;50;200;Dos;Series;0;132,94;0,68;0,68;-1;5
18;36;Louise;LEFEBVRE;f;20030101;FRA;OLYMPIC NICE NATATION;5;20210529;MN 2021 MONACO;50;200;Dos;Series;0;139,76;0,65;0,65;-1;6
10;17;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;6;20210529;MN 2021 MONACO;50;200;Nage Libre;Series;0;119,7;0,69;0,69;-1;4
11;19;Alizée;MOREL;f;19950101;FRA;CN ANTIBES;6;20210529;MN 2021 MONACO;50;200;Nage Libre;Series;0;122,48;0,63;0,63;-1;5
19;41;Fanny;DEBERGHES;f;19940101;FRA;AAS SARCELLES NATATION 95;8;20210529;MN 2021 MONACO;50;50;Brasse;Series;4,34;32,4;0,71;0,71;1,07;5
14;2;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;10;20210529;MN 2021 MONACO;50;50;Nage Libre;Series;2,77;25,26;0,6;0,6;1,01;4
15;57;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;10;20210529;MN 2021 MONACO;50;50;Nage Libre;Series;6,35;22,39;0,61;0,61;1,04;4
16;59;Clément;MIGNON;m;19930101;FRA;CN MARSEILLE;10;20210529;MN 2021 MONACO;50;50;Nage Libre;Series;2,91;23,02;0,62;0,62;1,02;5
12;98;Sergueï;COMTE;m;20000101;FRA;RC BRON DÉCINES NATATION;11;20210529;MN 2021 MONACO;50;50;Papillon;Series;4,93;24,35;0,6;0,6;0,96;5
13;137;Thibaut;MARY;m;19980101;FRA;CN ANTIBES;11;20210529;MN 2021 MONACO;50;50;Papillon;Series;4,9;25,57;0,62;0,62;0,98;6
