id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
1;1;5,00;-1,00;6,89;1;8,28;15,00;8,28
2;1;15,00;8,28;8,28;5;15,30;25,00;15,30
3;1;25,00;15,30;15,30;11;29,44;45,00;29,44
4;1;55,00;35,66;39,65;3;43,80;65,00;43,80
5;1;65,00;43,80;43,80;5;51,22;75,00;51,22
6;1;75,00;51,22;51,22;12;66,40;95,00;66,40
7;2;5,00;-1,00;6,13;1;6,73;15,00;6,73
8;2;15,00;6,73;6,73;5;12,23;25,00;12,23
9;2;25,00;12,23;12,23;9;23,83;45,00;23,83
10;2;55,00;28,59;31,84;3;34,99;65,00;34,99
11;2;65,00;34,99;34,99;5;40,99;75,00;40,99
12;2;75,00;40,99;40,99;9;53,19;95,00;53,19
13;3;5,00;-1,00;6,29;1;7,43;15,00;7,43
14;3;15,00;7,43;7,43;5;13,01;25,00;13,01
15;3;25,00;13,01;13,01;9;24,43;45,00;24,43
16;3;55,00;28,87;32,88;2;35,59;65,00;35,59
17;3;65,00;35,59;35,59;5;41,45;75,00;41,45
18;3;75,00;41,45;41,45;10;53,71;95,00;53,71
19;4;5,00;-1,00;-1,00;-1;-1,00;15,00;6,83
20;4;15,00;6,83;7,17;4;12,65;25,00;12,65
21;4;25,00;12,65;12,65;8;25,77;45,00;25,77
22;4;55,00;30,41;35,18;1;36,13;65,00;36,13
23;4;65,00;36,13;36,13;5;41,39;75,00;41,39
24;4;75,00;41,39;41,39;10;52,71;95,00;52,71
25;5;5,00;-1,00;-1,00;-1;-1,00;15,00;-1,00
26;5;15,00;-1,00;-1,00;-1;-1,00;25,00;-1,00
27;5;25,00;-1,00;-1,00;-1;-1,00;45,00;-1,00
28;5;55,00;-1,00;-1,00;-1;-1,00;65,00;-1,00
29;5;65,00;-1,00;-1,00;-1;-1,00;75,00;-1,00
30;5;75,00;-1,00;-1,00;-1;-1,00;95,00;-1,00
31;6;5,00;-1,00;-1,00;-1;-1,00;15,00;-1,00
32;6;15,00;-1,00;-1,00;-1;-1,00;25,00;-1,00
33;6;25,00;-1,00;-1,00;-1;-1,00;45,00;-1,00
34;6;55,00;-1,00;-1,00;-1;-1,00;65,00;-1,00
35;6;65,00;-1,00;-1,00;-1;-1,00;75,00;-1,00
36;6;75,00;-1,00;-1,00;-1;-1,00;95,00;-1,00
37;7;5,00;-1,00;-1,00;-1;-1,00;15,00;-1,00
38;7;15,00;-1,00;-1,00;-1;-1,00;25,00;-1,00
39;7;25,00;-1,00;-1,00;-1;-1,00;45,00;-1,00
40;7;55,00;-1,00;-1,00;-1;-1,00;65,00;-1,00
41;7;65,00;-1,00;-1,00;-1;-1,00;75,00;-1,00
42;7;75,00;-1,00;-1,00;-1;-1,00;95,00;-1,00
43;8;5,00;-1,00;-1,00;-1;-1,00;15,00;-1,00
44;8;15,00;-1,00;-1,00;-1;-1,00;25,00;-1,00
45;8;25,00;-1,00;-1,00;-1;-1,00;45,00;-1,00
46;8;55,00;-1,00;-1,00;-1;-1,00;65,00;-1,00
47;8;65,00;-1,00;-1,00;-1;-1,00;75,00;-1,00
48;8;75,00;-1,00;-1,00;-1;-1,00;95,00;-1,00
55;10;5,00;-1,00;-1,00;-1;-1,00;15,00;-1,00
56;10;15,00;-1,00;-1,00;-1;-1,00;25,00;-1,00
57;10;25,00;-1,00;-1,00;-1;-1,00;45,00;-1,00
58;10;55,00;-1,00;-1,00;-1;-1,00;65,00;-1,00
59;10;65,00;-1,00;-1,00;-1;-1,00;75,00;-1,00
60;10;75,00;-1,00;-1,00;-1;-1,00;95,00;-1,00
61;10;105,00;-1,00;-1,00;-1;-1,00;115,00;-1,00
62;10;115,00;-1,00;-1,00;-1;-1,00;125,00;-1,00
63;10;125,00;-1,00;-1,00;-1;-1,00;145,00;-1,00
64;10;155,00;-1,00;-1,00;-1;-1,00;165,00;-1,00
65;10;165,00;-1,00;-1,00;-1;-1,00;175,00;-1,00
66;10;175,00;-1,00;-1,00;-1;-1,00;195,00;-1,00
67;11;5,00;-1,00;-1,00;-1;-1,00;15,00;-1,00
68;11;15,00;-1,00;-1,00;-1;-1,00;25,00;-1,00
69;11;25,00;-1,00;-1,00;-1;-1,00;45,00;-1,00
70;11;55,00;-1,00;-1,00;-1;-1,00;65,00;-1,00
71;11;65,00;-1,00;-1,00;-1;-1,00;75,00;-1,00
72;11;75,00;-1,00;-1,00;-1;-1,00;95,00;-1,00
73;11;105,00;-1,00;-1,00;-1;-1,00;115,00;-1,00
74;11;115,00;-1,00;-1,00;-1;-1,00;125,00;-1,00
75;11;125,00;-1,00;-1,00;-1;-1,00;145,00;-1,00
76;11;155,00;-1,00;-1,00;-1;-1,00;165,00;-1,00
77;11;165,00;-1,00;-1,00;-1;-1,00;175,00;-1,00
78;11;175,00;-1,00;-1,00;-1;-1,00;195,00;-1,00
79;12;5,00;-1,00;5,67;0;6,06;15,00;6,06
80;12;15,00;6,06;6,06;6;11,23;25,00;11,23
81;12;25,00;11,23;11,23;11;21,64;45,00;21,64
82;13;5,00;-1,00;-1,00;-1;-1,00;15,00;6,18
83;13;15,00;6,18;6,24;5;11,61;25,00;11,61
84;13;25,00;11,61;11,61;11;22,79;45,00;22,79
85;14;5,00;-1,00;5,76;1;6,40;15,00;6,40
86;14;15,00;6,40;6,40;5;11,54;25,00;11,54
87;14;25,00;11,54;11,54;10;22,50;45,00;22,50
88;15;5,00;-1,00;4,77;1;5,68;15,00;5,68
89;15;15,00;5,68;5,68;5;10,20;25,00;10,20
90;15;25,00;10,20;10,20;9;20,04;45,00;20,04
91;16;5,00;-1,00;5,24;1;5,87;15,00;5,87
92;16;15,00;5,87;5,87;5;10,54;25,00;10,54
93;16;25,00;10,54;10,54;10;20,52;45,00;20,52
94;17;5,00;-1,00;-1,00;-1;-1,00;15,00;-1,00
95;17;15,00;-1,00;-1,00;-1;-1,00;25,00;-1,00
96;17;25,00;-1,00;-1,00;-1;-1,00;45,00;-1,00
97;17;55,00;-1,00;-1,00;-1;-1,00;65,00;-1,00
98;17;65,00;-1,00;-1,00;-1;-1,00;75,00;-1,00
99;17;75,00;-1,00;-1,00;-1;-1,00;95,00;-1,00
100;17;105,00;-1,00;-1,00;-1;-1,00;115,00;-1,00
101;17;115,00;-1,00;-1,00;-1;-1,00;125,00;-1,00
102;17;125,00;-1,00;-1,00;-1;-1,00;145,00;-1,00
103;17;155,00;-1,00;-1,00;-1;-1,00;165,00;-1,00
104;17;165,00;-1,00;-1,00;-1;-1,00;175,00;-1,00
105;17;175,00;-1,00;-1,00;-1;-1,00;195,00;-1,00
106;18;5,00;-1,00;-1,00;-1;-1,00;15,00;-1,00
107;18;15,00;-1,00;-1,00;-1;-1,00;25,00;-1,00
108;18;25,00;-1,00;-1,00;-1;-1,00;45,00;-1,00
109;18;55,00;-1,00;-1,00;-1;-1,00;65,00;-1,00
