analyses.id;nageurs.id;prenom;nageurs.nom;sexe;anneeDeNaissance;nationalite;club;courses.id;dateCourse;competitions.nom;longueurBassin;distances.libelle;styles.libelle;rounds.libelle;tpsDebutCourse;tpsFinal;tpsReaction;tpsDecollagePieds;tpsVol;couloir
1;165;Camille;DAUBA;f;19970101;FRA;CN SARREGUEMINES;1;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Series;5.47;138.31;0.71;0.71;0.99;4
2;106;Claire;BOURSE;f;19980101;FRA;CN BREST;1;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Series;10.71;139.03;0.62;0.62;0.98;3
3;119;Bertille;COUSSON;f;20020101;FRA;STADE BTHUNE PLICAN CLUB;1;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Series;5.05;137.61;0.68;0.68;0.85;3
4;86;Fantine;LESAFFRE;f;19940101;FRA;CN ANTIBES;1;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Series;10.47;134.41;0.72;0.72;1.06;4
5;94;Camille;TISSANDIE;f;20040101;FRA;CASTRES SPORTS NAUTIQUES;1;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Series;10.5;136.96;0.66;0.66;0.95;5
6;85;Zoé;CARLOS-BROC;f;20060101;FRA;ES MASSY NATATION;1;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Series;10.19;138.8;0.71;0.71;1;7
7;2;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;1;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Series;7.95;137.05;0.68;0.68;1.02;5
8;278;David;AUBRY;m;19960101;FRA;MONTPELLIER METROPOLE NATATION;2;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Series;8.66;235.32;0.73;0.73;1.01;5
13;300;Sacha;VELLY;m;20050101;FRA;FC LAON;2;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Series;15.4;232.41;0.62;0.62;0.94;7
9;272;Logan;FONTAINE;m;19990101;FRA;C VIKINGS DE ROUEN;2;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Series;10.18;234.52;0.72;0.72;1.1;4
10;293;Damien;JOLY;m;19920101;FRA;STADE DE VANVES;2;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Series;10.15;236.96;0.69;0.69;1.08;5
12;273;Nicolas;D'ORIANO;m;19970101;FRA;CN ANTIBES;2;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Series;6.64;234.79;0.7;0.7;1.07;3
14;282;Jean-baptiste;CLUSMAN;m;20010101;FRA;LILLE MTROPOLE NATATION;2;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Series;14.91;235.83;0.59;0.59;0.96;6
22;282;Jean-baptiste;CLUSMAN;m;20010101;FRA;LILLE MTROPOLE NATATION;3;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Finale;11.21;236.17;0.67;0.67;1.02;1
21;276;Guillaume;ROUX;m;20010101;FRA;CANET 66 NATATION;3;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Finale;11.18;234.9;0.66;0.66;0.98;2
15;272;Logan;FONTAINE;m;19990101;FRA;C VIKINGS DE ROUEN;3;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Finale;11.17;231.34;0.72;0.72;1.08;3
20;273;Nicolas;D'ORIANO;m;19970101;FRA;CN ANTIBES;3;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Finale;13.05;234.36;0.69;0.69;1.1;6
19;278;David;AUBRY;m;19960101;FRA;MONTPELLIER METROPOLE NATATION;3;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Finale;13.01;233.06;0.74;0.74;1.03;7
23;293;Damien;JOLY;m;19920101;FRA;STADE DE VANVES;3;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Finale;13.01;236.94;0.68;0.68;1.06;8
17;300;Sacha;VELLY;m;20050101;FRA;FC LAON;3;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Finale;8.77;232.37;0.72;0.72;1.02;4
18;224;Roman;FUCHS;m;19980101;FRA;AMIENS METROPOLE NAT.;3;20211209;CF 2021 MONTPELLIER;50;400;Nage Libre;Finale;8.77;232.89;0.64;0.64;1.02;5
27;2;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;4;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Finale;5.97;134.28;0.67;0.67;0.98;6
26;165;Camille;DAUBA;f;19970101;FRA;CN SARREGUEMINES;4;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Finale;6.11;137.78;0.63;0.63;0.91;7
25;106;Claire;BOURSE;f;19980101;FRA;CN BREST;4;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Finale;6.02;140.43;0.63;0.63;0.99;8
30;85;Zoé;CARLOS-BROC;f;20060101;FRA;ES MASSY NATATION;4;20211209;CF 2021 MONTPELLIER;50;200;4 Nages;Finale;8.06;141.47;0.72;0.72;0.98;1
