id;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
1;1;0;5.9;-1;0;28.89;50;29.39
2;1;50;35.19;-1;0;65.03;100;65.72
3;1;100;71.43;-1;0;103.57;150;105.55
4;1;150;109.82;-1;0;137.75;200;138.31
5;2;0;6.01;-1;0;29.05;50;29.59
6;2;50;35.33;-1;0;64.03;100;64.65
7;2;100;70.06;-1;0;103.23;150;104.9
8;2;150;108.93;-1;0;138.55;200;139.03
9;3;0;5.02;-1;0;28.54;50;28.84
10;3;50;33.86;-1;0;61.95;100;62.56
11;3;100;68.23;-1;0;102.82;150;104.17
12;3;150;107.37;-1;0;136.96;200;137.61
13;4;0;5.16;-1;0;28.89;50;28.92
14;4;50;34.33;-1;0;62.64;100;62.76
15;4;100;69.5;-1;0;101.73;150;102.11
16;4;150;102.98;-1;0;133.97;200;134.41
17;5;0;-1;-1;0;-1;50;28.96
18;5;50;-1;-1;0;-1;100;63.87
19;5;100;-1;-1;0;-1;150;104.02
20;5;150;-1;-1;0;-1;200;136.96
21;6;0;7.76;-1;0;28.08;50;28.97
22;6;50;34.54;-1;0;63.65;100;63.66
23;6;100;70.4;-1;0;103.73;150;105.02
24;6;150;109.45;-1;0;138.19;200;138.8
25;7;0;-1;-1;0;-1;50;28.74
26;7;50;-1;-1;0;-1;100;65.74
27;7;100;-1;-1;0;-1;150;105.19
28;7;150;-1;-1;0;-1;200;137.05
29;8;0;5.6;-1;0;25.84;50;27.7
30;8;50;30.65;-1;0;55.93;100;57.39
31;8;100;60.37;-1;0;85.95;150;87.34
32;8;150;90.31;-1;0;115.67;200;117.27
33;8;200;120.32;-1;0;145.42;250;147.2
34;8;250;150;-1;0;175.68;300;177.1
35;8;300;179.95;-1;0;205.75;350;207.05
36;8;350;209.87;-1;0;234.65;400;235.32
37;9;0;5.38;-1;0;26.57;50;27.62
38;9;50;30.44;-1;0;55.72;100;56.99
39;9;100;59.5;-1;0;85.75;150;86.85
40;9;150;88.93;-1;0;115.51;200;116.92
41;9;200;119.03;-1;0;145.15;250;146.67
42;9;250;149.18;-1;0;174.95;300;176.36
43;9;300;178.6;-1;0;204.48;350;206.05
44;9;350;208.5;-1;0;234.33;400;234.52
45;10;0;4.51;-1;0;26.59;50;27.51
46;10;50;30.46;-1;0;55.52;100;57.07
47;10;100;59.63;-1;0;85.89;150;87.08
48;10;150;89.59;-1;0;115.58;200;117.25
49;10;200;119.58;-1;0;145.95;250;147.26
50;10;250;149.52;-1;0;175.83;300;177.31
51;10;300;179.73;-1;0;206.18;350;207.43
52;10;350;209.92;-1;0;236.05;400;236.96
61;12;0;5.32;-1;0;25.78;50;27.04
62;12;50;29.8;-1;0;55.06;100;56.56
63;12;100;59.45;-1;0;85.36;150;86.65
64;12;150;89.56;-1;0;115.05;200;116.9
65;12;200;119.72;-1;0;145.25;250;147.02
66;12;250;149.8;-1;0;175.31;300;176.46
67;12;300;179.13;-1;0;205.07;350;205.99
68;12;350;209.26;-1;0;234.23;400;234.79
69;13;0;4.05;-1;0;25.94;50;27.37
70;13;50;29.92;-1;0;55.06;100;56.52
71;13;100;59.05;-1;0;84.65;150;85.97
72;13;150;88.53;-1;0;113.77;200;115.36
73;13;200;117.83;-1;0;143.2;250;144.83
74;13;250;147.32;-1;0;173.21;300;174.3
75;13;300;176.71;-1;0;202.65;350;203.86
76;13;350;206.49;-1;0;231.92;400;232.41
77;14;0;3.44;-1;0;26.98;50;28.16
78;14;50;29.85;-1;0;55.84;100;57.47
79;14;100;58.9;-1;0;86.04;150;87.4
80;14;150;89.01;-1;0;115.87;200;117.24
81;14;200;118.8;-1;0;145.4;250;147.07
82;14;250;148.63;-1;0;175.64;300;177.11
83;14;300;178.51;-1;0;205;350;206.79
84;14;350;208.38;-1;0;235.51;400;235.83
85;15;0;5.54;-1;0;26.23;50;27.2
