id;idAnalyse;temps;distance
1;1;5.9;12.32590529
2;1;6.89;14.39415042
3;1;7.97;16.27831715
4;1;9.07;18.05825243
5;1;10.16;19.82200647
6;1;11.29;21.65048544
7;1;12.4;23.44660194
8;1;13.6;25.38034865
9;1;14.66;27.06022187
10;1;15.86;28.96196513
11;1;16.98;30.73692552
12;1;18.17;32.62282092
13;1;19.36;34.50871632
14;1;20.54;36.37876387
15;1;21.73;38.26465927
16;1;22.88;40.08716323
17;1;24.12;42.05229794
18;1;25.28;43.89064976
19;1;26.54;45.82111437
20;1;27.78;47.63929619
21;1;28.89;49.26686217
22;1;35.19;59.19034091
23;1;35.85;60.12784091
24;1;36.51;61.06534091
25;1;37.21;62.05965909
26;1;37.87;62.99715909
27;1;38.63;64.07670455
28;1;39.37;65.1226158
29;1;40.12;66.14441417
30;1;40.85;67.13896458
31;1;41.55;68.09264305
32;1;42.26;69.0599455
33;1;43.04;70.1226158
34;1;43.79;71.14441417
35;1;44.56;72.19346049
36;1;45.34;73.25613079
37;1;46.09;74.27792916
38;1;46.98;75.47619048
39;1;47.6;76.2962963
40;1;48.31;77.23544974
41;1;49.05;78.21428571
42;1;49.88;79.31216931
43;1;50.72;80.42328042
44;1;51.5;81.45502646
45;1;52.34;82.56613757
46;1;53.05;83.50529101
47;1;53.81;84.51058201
48;1;54.55;85.48941799
49;1;55.39;86.6005291
50;1;56.24;87.72486772
51;1;57.03;88.76984127
52;1;57.74;89.70899471
53;1;58.62;90.87301587
54;1;59.36;91.85185185
55;1;60.23;93.0026455
56;1;61.01;94.03439153
57;1;61.8;95.07537688
58;1;62.64;96.13065327
59;1;63.5;97.21105528
60;1;64.24;98.14070352
61;1;65.03;99.13316583
62;1;71.43;108.4771887
63;1;73.24;110.7090012
64;1;74.99;112.8668311
66;1;76.74;115.0240096
67;1;78.76;117.4489796
68;1;80.62;119.6818727
69;1;82.5;121.9387755
70;1;84.3;124.0996399
71;1;86.28;126.5073529
72;1;88.25;128.9215686
73;1;90.01;131.0784314
74;1;91.99;133.504902
75;1;93.84;135.7720588
76;1;95.61;137.9411765
77;1;97.6;140.379902
78;1;99.53;142.745098
79;1;101.68;145.3708134
80;1;103.57;147.6315789
81;1;109.82;157.5333333
82;1;110.4;158.3925926
83;1;111.11;159.4444444
84;1;111.73;160.362963
85;1;112.4;161.3555556
86;1;113.12;162.4222222
87;1;113.86;163.5185185
88;1;114.64;164.6740741
89;1;115.51;165.9878419
90;1;116.25;167.112462
91;1;116.95;168.1762918
92;1;117.72;169.3465046
93;1;118.46;170.4711246
94;1;119.24;171.656535
95;1;120.04;172.8723404
96;1;120.85;174.1033435
97;1;121.5;175.0887574
98;1;122.42;176.4497041
99;1;123.18;177.5739645
100;1;123.85;178.5650888
101;1;124.59;179.6597633
102;1;125.38;180.8284024
103;1;126.09;181.8786982
104;1;127.08;183.3431953
105;1;127.71;184.2751479
106;1;128.5;185.443787
107;1;129.18;186.4497041
108;1;129.95;187.5887574
109;1;130.72;188.7278107
110;1;131.5;189.8816568
111;1;132.28;191.035503
112;1;133.14;192.3076923
113;1;133.82;193.3136095
114;1;134.57;194.4230769
115;1;135.48;195.7761194
116;1;136.25;196.9253731
117;1;137.05;198.119403
118;1;137.75;199.1641791
119;2;6.01;12.41735537
120;2;6.94;14.33884298
121;2;8.14;16.38801262
122;2;9.25;18.13880126
123;2;10.38;19.92113565
124;2;11.48;21.65615142
125;2;12.63;23.47003155
126;2;13.89;25.45777427
127;2;15.03;27.25730071
128;2;16.21;29.11996843
129;2;17.29;30.82478295
130;2;18.44;32.64009471
131;2;19.56;34.40805051
132;2;20.86;36.46014207
133;2;21.85;38.02288871
134;2;23.09;39.98026835
135;2;24.36;41.98500395
136;2;25.47;43.73717443
137;2;26.63;45.54216867
138;2;27.8;47.30421687
139;2;29.05;49.18674699
140;2;35.33;59.05797101
141;2;36.09;60.15942029
142;2;37.02;61.50724638
144;2;37.5;62.20289855
145;2;38.21;63.23188406
146;2;38.96;64.31884058
147;2;39.69;65.36723164
148;2;40.38;66.34180791
149;2;41.05;67.28813559
150;2;41.71;68.22033898
151;2;42.42;69.22316384
152;2;43.19;70.31073446
153;2;44;71.45480226
154;2;44.73;72.48587571
155;2;45.53;73.61581921
156;2;46.21;74.57627119
157;2;47.01;75.68917988
158;2;47.71;76.6540317
159;2;48.45;77.67401792
160;2;49.11;78.58373535
161;2;49.87;79.63128877
162;2;50.59;80.62370779
163;2;51.35;81.6712612
164;2;52.14;82.7601654
165;2;52.83;83.71123363
166;2;53.57;84.73121985
167;2;54.24;85.65472088
168;2;55.11;86.85389387
169;2;55.84;87.86009649
170;2;56.7;89.04548587
171;2;57.41;90.0241213
172;2;58.02;90.86492074
173;2;58.72;91.82977257
174;2;59.52;92.93246037
175;2;60.3;94.00758098
176;2;60.96;94.91729841
177;2;61.69;95.92286501
178;2;62.46;96.98347107
179;2;63.26;98.08539945
180;2;64.03;99.14600551
181;2;70.06;108.0288462
182;2;71.62;109.9038462
183;2;73.28;111.8990385
184;2;74.89;113.8341346
185;2;76.56;115.8323424
186;2;78.12;117.6872771
187;2;79.72;119.5897741
188;2;81.56;121.7776457
189;2;83.2;123.7277051
190;2;84.91;125.7683073
191;2;86.47;127.6410564
192;2;88.12;129.6218487
