id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
1;1;5;-1;5.9;1;7.18;15;7.18
2;1;15;7.18;7.18;6;13.36;25;13.36
3;1;25;13.36;13.36;11;25.98;45;25.98
4;1;55;32.24;35.19;3;39.28;65;39.28
5;1;65;39.28;39.28;5;46.62;75;46.62
6;1;75;46.62;46.62;10;61.74;95;61.74
7;1;105;68.61;71.43;3;76.72;115;76.72
8;1;115;76.72;76.72;4;85.05;125;85.05
9;1;125;85.05;85.05;8;101.37;145;101.37
10;1;155;108.11;109.82;4;114.86;165;114.86
11;1;165;114.86;114.86;4;121.44;175;121.44
12;1;175;121.44;121.44;9;134.96;195;134.96
13;2;5;-1;6.01;1;7.26;15;7.26
14;2;15;7.26;7.26;6;13.6;25;13.6
15;2;25;13.6;13.6;11;26.27;45;26.27
16;2;55;32.53;35.33;3;39.43;65;39.43
17;2;65;39.43;39.43;5;46.51;75;46.51
18;2;75;46.51;46.51;10;61.02;95;61.02
19;2;105;67.54;70.06;4;75.86;115;75.86
20;2;115;75.86;75.86;5;84.27;125;84.27
21;2;125;84.27;84.27;10;100.93;145;100.93
22;2;155;108.22;108.93;5;115.02;165;115.02
23;2;165;115.02;115.02;5;121.76;175;121.76
24;2;175;121.76;121.76;10;135.62;195;135.62
25;3;5;-1;5.02;2;7.14;15;7.14
26;3;15;7.14;7.14;6;13.24;25;13.24
27;3;25;13.24;13.24;12;25.68;45;25.68
28;3;55;31.84;33.86;3;38.44;65;38.44
29;3;65;38.44;38.44;5;45.18;75;45.18
30;3;75;45.18;45.18;9;58.92;95;58.92
31;3;105;65.52;68.23;4;74.07;115;74.07
32;3;115;74.07;74.07;5;82.7;125;82.7
33;3;125;82.7;82.7;10;99.82;145;99.82
34;3;155;107.26;107.37;4;113.94;165;113.94
35;3;165;113.94;113.94;5;120.6;175;120.6
36;3;175;120.6;120.6;9;134.16;195;134.16
37;4;5;-1;5.16;2;7.18;15;7.18
