id;idAnalyse;temps;distance
1;3;4,41;9,713656388
2;3;4,9;10,79295154
3;3;5,39;11,8722467
4;3;5,75;12,66519824
5;3;6,28;13,83259912
6;3;6,73;14,82378855
7;3;7,31;15,89285714
8;3;7,81;16,78571429
9;3;8,29;17,64285714
10;3;8,72;18,41071429
11;3;9,23;19,32142857
12;3;9,72;20,19642857
13;3;10,23;21,10714286
14;3;10,72;21,98214286
15;3;11,21;22,85714286
16;3;11,72;23,76785714
17;3;12,18;24,58928571
18;3;12,78;25,64347826
21;3;13,31;26,56521739
22;3;13,77;27,36521739
23;3;14,3;28,28695652
24;3;14,82;29,19130435
25;3;15,35;30,11304348
26;3;15,85;30,9826087
27;3;16,34;31,83478261
28;3;16,87;32,75652174
29;3;17,43;33,73043478
30;3;17,94;34,6173913
31;3;18,5;35,59130435
32;3;19,01;36,47826087
33;3;19,52;37,36521739
34;3;20,06;38,30434783
35;3;20,6;39,24347826
36;3;21,11;40,13043478
37;3;21,66;41,08695652
38;3;22,2;42,02608696
39;3;22,68;42,86086957
40;3;23,26;43,86956522
42;3;23,76;44,73913043
43;3;24,36;45,92213115
44;3;24,86;46,94672131
45;3;25,4;48,05327869
46;3;25,88;49,03688525
47;3;26,33;49,95901639
48;4;4,71;10,80275229
49;4;5,2;11,9266055
50;4;5,71;13,09633028
51;4;6,26;14,35779817
52;4;6,8;15,4797048
53;4;7,33;16,45756458
54;4;7,83;17,3800738
55;4;8,36;18,35793358
56;4;8,9;19,35424354
57;4;9,45;20,36900369
58;4;10,02;21,42066421
59;4;10,55;22,39852399
60;4;11,14;23,48708487
61;4;11,72;24,55719557
62;4;12,33;25,67395264
63;4;12,78;26,49362477
64;4;13,37;27,56830601
65;4;13,95;28,62477231
66;4;14,48;29,59016393
67;4;15,06;30,64663024
68;4;15,59;31,61202186
69;4;16,17;32,66848816
70;4;16,75;33,72495446
71;4;17,28;34,69034608
72;4;17,81;35,6557377
73;4;18,36;36,6575592
74;4;18,96;37,75045537
75;4;19,51;38,75227687
76;4;20,09;39,80874317
77;4;20,68;40,88342441
78;4;21,26;41,93989071
79;4;21,82;42,95992714
80;4;22,41;44,03460838
81;4;22,9;44,92714026
82;4;23,54;46,04895105
83;4;24,14;47,0979021
84;4;24,72;48,11188811
85;4;25,34;49,1958042
86;5;5,03;11,93829114
87;5;5,53;13,125
88;5;6,07;14,40664557
89;5;6,58;15,49056604
90;5;7,08;16,43396226
91;5;7,58;17,37735849
92;5;8,15;18,45283019
93;5;8,68;19,45283019
94;5;9,22;20,47169811
95;5;9,72;21,41509434
96;5;10,16;22,24528302
97;5;10,63;23,13207547
98;5;11,14;24,09433962
99;5;11,66;25,07380074
100;5;12,11;25,90405904
101;5;12,62;26,84501845
102;5;13,17;27,8597786
103;5;13,7;28,83763838
104;5;14,23;29,81549815
105;5;14,73;30,73800738
106;5;15,22;31,64206642
107;5;15,72;32,56457565
108;5;16,2;33,4501845
109;5;16,74;34,44649446
110;5;17,23;35,35055351
111;5;17,73;36,27306273
112;5;18,28;37,28782288
113;5;18,81;38,26568266
114;5;19,3;39,1697417
115;5;19,89;40,25830258
116;5;20,38;41,16236162
117;5;20,85;42,0295203
118;5;21,37;42,98892989
119;5;21,92;44,00369004
120;5;22,37;44,83394834
121;5;22,87;45,72438163
122;5;23,45;46,74911661
123;5;23,98;47,68551237
124;5;24,45;48,51590106
125;5;25,05;49,57597173
126;6;5,57;13,01401869
127;6;6;14,01869159
128;6;6,54;15,22514071
129;6;7,09;16,25703565
130;6;7,64;17,28893058
131;6;8,23;18,39587242
132;6;8,76;19,3902439
133;6;9,3;20,40337711
134;6;9,83;21,39774859
135;6;10,36;22,39212008
136;6;10,86;23,33020638
137;6;11,44;24,41838649
138;6;12,02;25,48692516
139;6;12,53;26,40667268
140;6;13,1;27,43462579
141;6;13,63;28,39044184
142;6;14,19;29,40036069
143;6;14,78;30,46438233
144;6;15,35;31,49233544
145;6;15,98;32,62849414
146;6;16,55;33,65644725
147;6;17,12;34,68440036
148;6;17,67;35,67628494
149;6;18,3;36,81244364
150;6;18,9;37,89449955
151;6;19,52;39,01262399
152;6;20,1;40,05861136
153;6;20,73;41,19477006
154;6;21,32;42,2587917
155;6;21,91;43,32281335
156;6;22,52;44,42290352
157;6;23,16;45,54607509
158;6;23,78;46,60409556
159;6;24,42;47,69624573
160;6;25,1;48,85665529
161;7;5,76;13,824
162;7;6,14;14,736
163;7;6,75;15,9487666
164;7;7,22;16,84060721
165;7;7,67;17,69449715
166;7;8,19;18,68121442
167;7;8,64;19,53510436
168;7;9,14;20,48387097
169;7;9,68;21,5085389
170;7;10,17;22,43833017
171;7;10,62;23,29222011
172;7;11,12;24,24098672
173;7;11,63;25,2037037
174;7;12,1;26,07407407
175;7;12,63;27,05555556
176;7;13,14;28
177;7;13,67;28,98148148
178;7;14,12;29,81481481
179;7;14,63;30,75925926
180;7;15,13;31,68518519
181;7;15,66;32,66666667
182;7;16,11;33,5
183;7;16,61;34,42592593
184;7;17,08;35,2962963
185;7;17,62;36,2962963
186;7;18,11;37,2037037
187;7;18,6;38,11111111
188;7;19,11;39,05555556
189;7;19,64;40,03703704
190;7;20,09;40,87037037
191;7;20,6;41,81481481
192;7;21,14;42,81481481
193;7;21,58;43,62962963
194;7;22,12;44,62962963
195;7;22,6;45,47457627
196;7;23,14;46,38983051
197;7;23,62;47,20338983
198;7;24,2;48,18644068
199;7;24,75;49,11864407
200;8;5,6;12,53731343
201;8;6,48;14,50746269
202;8;7,59;16,4331723
203;8;8,52;17,93075684
204;8;9,45;19,42834138
205;8;10,48;21,08695652
206;8;11,47;22,68115942
207;8;12,34;24,0821256
208;8;13,41;25,8097166
209;8;14,34;27,31578947
210;8;15,36;28,96761134
211;8;16,31;30,50607287
212;8;17,3;32,10931174
213;8;18,28;33,69635628
214;8;19,31;35,36437247
215;8;20,35;37,048583
216;8;21,26;38,52226721
217;8;22,3;40,20647773
218;8;23,27;41,77732794
219;8;24,22;43,31578947
220;8;25,15;44,82186235
221;8;26,13;46,25
222;8;27,12;47,67241379
223;8;28,16;49,16666667
224;9;6,41;14,18141593
225;9;7,52;16,14728682
226;9;8,55;17,74418605
227;9;9,61;19,3875969
228;9;10,64;20,98449612
229;9;11,7;22,62790698
230;9;12,6;24,02325581
231;9;13,78;25,87789306
232;9;14,77;27,45810056
233;9;15,78;29,07023144
234;9;16,79;30,68236233
235;9;17,77;32,24660814
236;9;18,81;33,9066241
237;9;19,86;35,58260176
238;9;20,89;37,22665603
239;9;21,83;38,72705507
240;9;22,94;40,49880287
241;9;24,1;42,35035914
242;9;24,96;43,72306464
243;9;26;45,36253776
244;9;27,06;46,96374622
245;9;28,16;48,62537764
246;10;5,72;12,65486726
247;10;6,65;14,71238938
248;10;7,64;16,46010187
249;10;8,65;18,17487267
250;10;9,7;19,95755518
251;10;10,61;21,50254669
252;10;11,67;23,30220713
253;10;12,41;24,55857385
254;10;13,46;26,30041152
255;10;14,46;27,94650206
256;10;15,4;29,49382716
257;10;16,34;31,04115226
258;10;17,27;32,57201646
259;10;18,22;34,13580247
260;10;19,19;35,73251029
261;10;20,11;37,24691358
262;10;21,1;38,87654321
263;10;22,16;40,62139918
264;10;23,07;42,11934156
265;10;24,04;43,71604938
266;10;25,04;45,32069971
267;10;26,1;46,86588921
268;10;27,28;48,58600583
269;10;28,06;49,72303207
270;11;5,81;12,57575758
271;11;6,71;14,52380952
272;11;7,72;16,24018838
273;11;8,77;17,88854003
274;11;9,74;19,41130298
275;11;10,75;20,99686028
276;11;11,77;22,59811617
277;11;12,73;24,10518053
278;11;13,75;25,69767442
279;11;14,81;27,34108527
280;11;15,84;28,9379845
281;11;16,88;30,5503876
282;11;17,83;32,02325581
283;11;18,79;33,51162791
284;11;19,85;35,15503876
285;11;20,92;36,81395349
286;11;21,94;38,39534884
287;11;22,98;40,00775194
288;11;24,37;42,1627907
289;11;25,15;43,37209302
290;11;26,09;44,82945736
291;11;27,01;46,25
292;11;28,08;47,90123457
293;11;29,06;49,41358025
294;12;5,69;12,81531532
295;12;6,53;14,70720721
296;12;7,44;16,27659574
297;12;8,49;17,99509002
298;12;9,4;19,48445172
299;12;10,4;21,12111293
300;12;11,26;22,52864157
301;12;12,19;24,0507365
302;12;13,15;25,60365369
303;12;14,11;27,12867355
304;12;15,1;28,70135028
305;12;16,05;30,21048451
306;12;17,04;31,78316124
307;12;17,99;33,29229547
308;12;18,98;34,8649722
309;12;19,99;36,46942017
310;12;20,98;38,0420969
311;12;21,89;39,48768864
312;12;22,89;41,07625099
313;12;23,75;42,44241461
314;12;24,83;44,15806195
315;12;25,92;45,86419753
316;12;26,94;47,4382716
317;12;27,97;49,02777778
318;13;6,25;14,07657658
319;13;7,45;16,2305296
320;13;8,41;17,7258567
321;13;9,34;19,17445483
322;13;10,31;20,68535826
323;13;11,26;22,16510903
324;13;12,21;23,64485981
325;13;13,08;25
326;13;14,12;26,64556962
327;13;15,13;28,24367089
328;13;16,13;29,82594937
329;13;17,15;31,43987342
330;13;18,02;32,8164557
331;13;18,98;34,33544304
332;13;19,88;35,75949367
333;13;20,88;37,34177215
334;13;21,86;38,89240506
335;13;22,8;40,37974684
336;13;23,83;42,00949367
337;13;24,82;43,57594937
338;13;25,72;45
339;13;26,67;46,54220779
340;13;27,84;48,44155844
341;14;4,56;12,59668508
342;14;5,39;14,88950276
343;14;6,4;16,8762089
344;14;7,36;18,73307544
345;14;8,33;20,60928433
346;14;9,32;22,52417795
347;14;10,25;24,32301741
348;14;11,28;26,35188867
349;14;12,19;28,1610338
350;14;13,2;30,16898608
351;14;14,16;32,07753479
352;14;15,19;34,12524851
353;14;16,17;36,07355865
354;14;17,12;37,96222664
355;14;18,06;39,83101392
356;14;19,06;41,81908549
357;14;20,13;43,94632207
358;14;21,1;45,83018868
359;14;22,09;47,69811321
360;14;23,17;49,73584906
361;15;5,37;13,9119171
362;15;6,3;15,95684803
363;15;7,2;17,64540338
364;15;8,06;19,25891182
365;15;8,99;21,00375235
366;15;9,97;22,8424015
367;15;10,81;24,41838649
368;15;11,84;26,36752137
369;15;12,78;28,15289649
370;15;13,64;29,78632479
371;15;14,56;31,5337132
372;15;15,48;33,28110161
373;15;16,42;35,06647673
374;15;17,36;36,85185185
375;15;18,35;38,73219373
376;15;19,3;40,5365622
377;15;20,24;42,32193732
378;15;21,28;44,29724596
379;15;22,19;46
380;15;23,16;47,7962963
381;15;24,17;49,66666667
382;16;4,34;10,51696284
383;16;5,33;12,91599354
384;16;6,32;15,256917
385;16;7,34;17,27272727
386;16;8,29;19,15019763
387;16;9,31;21,16600791
388;16;10,34;23,20158103
389;16;11,31;25,11299435
390;16;12,33;27,03389831
391;16;13,29;28,84180791
392;16;14,29;30,72504708
393;16;15,31;32,64595104
394;16;16,27;34,45386064
395;16;17,33;36,45009416
396;16;18,33;38,33333333
397;16;19,38;40,31073446
398;16;20,32;42,08097928
399;16;21,45;44,20903955
400;16;22,5;46,25498008
401;16;23,53;48,30677291
402;16;24,36;49,96015936
403;17;5,4;14,21052632
404;17;6,37;16,26415094
405;17;7,31;18,03773585
406;17;8,26;19,83018868
407;17;9,16;21,52830189
408;17;10,15;23,39622642
409;17;11,08;25,14953271
410;17;12,02;26,90654206
411;17;12,96;28,6635514
412;17;13,91;30,43925234
413;17;14,87;32,23364486
414;17;15,78;33,93457944
415;17;16,75;35,74766355
416;17;17,65;37,42990654
417;17;18,7;39,39252336
418;17;19,69;41,24299065
419;17;20,7;43,13084112
420;17;21,68;44,96261682
421;17;22,73;46,87272727
422;17;23,72;48,67272727
423;18;5,21;13,52076125
424;18;6,13;15,64935065
425;18;7,09;17,43042672
426;18;8,09;19,28571429
427;18;9,1;21,15955473
428;18;10,09;22,99628942
429;18;11,06;24,79591837
430;18;12,11;26,76525822
431;18;13,11;28,64319249
432;18;14,16;30,61502347
433;18;15,1;32,38028169
436;18;16,13;34,31455399
437;18;17,27;36,45539906
438;18;18,3;38,38967136
439;18;19,37;40,39906103
440;18;20,41;42,35211268
441;18;21,39;44,19248826
442;18;22,5;46,25
443;18;23,56;48,19852941
444;18;24,48;49,88970588
445;19;6,35;12,14923469
446;19;7,36;14,08163265
447;19;8,73;16,24301676
448;19;9,8;17,73743017
449;19;10,86;19,21787709
450;19;11,99;20,79608939
451;19;13,19;22,47206704
452;19;14,26;23,96648045
453;19;15,37;25,5316092
454;19;16,54;27,21264368
455;19;17,61;28,75
456;19;18,73;30,3591954
457;19;19,92;32,06896552
458;19;21,03;33,6637931
459;19;22,2;35,34482759
460;19;23,29;36,91091954
461;19;24,39;38,49137931
462;19;25,54;40,14367816
463;19;26,64;41,72413793
464;19;27,58;43,07471264
465;19;28,64;44,59770115
466;19;29,82;46,21293801
467;19;30,96;47,74932615
468;19;32,08;49,25876011
469;20;6,11;11,38509317
470;20;7,1;13,22981366
471;20;7,89;14,70186335
472;20;8,92;16,30434783
474;20;9,8;17,62368816
475;20;10,83;19,16791604
476;20;11,81;20,63718141
477;20;12,81;22,13643178
478;20;13,84;23,68065967
479;20;14,63;24,86506747
480;20;15,74;26,49779736
481;20;16,8;28,05433186
482;20;17,83;29,56681351
483;20;18,85;31,06461087
484;20;19,94;32,66519824
485;20;20,97;34,17767988
486;20;22;35,69016153
487;20;23,12;37,33480176
488;20;24,19;38,90602056
489;20;25,23;40,43318649
490;20;26,35;42,07782673
491;20;27,37;43,57562408
492;20;28,41;45,09259259
493;20;29,57;46,62698413
494;20;30,75;48,18783069
495;21;6,34;12,35064935
496;21;7,24;14,1038961
497;21;8,32;15,89208633
498;21;9,35;17,37410072
499;21;10,33;18,78417266
500;21;11,28;20,15107914
501;21;12,18;21,44604317
502;21;13,18;22,88489209
503;21;14,01;24,07913669
504;21;15,12;25,65918654
505;21;16,06;26,97755961
506;21;16,97;28,25385694
507;21;17,97;29,65638149
508;21;18,84;30,87657784
509;21;19,84;32,27910238
510;21;20,86;33,70967742
511;21;21,92;35,19635344
512;21;22,86;36,51472651
513;21;23,9;37,97335203
514;21;24,88;39,34782609
515;21;25,9;40,77840112
516;21;26,9;42,18092567
517;21;27,63;43,20476858
518;21;28,61;44,57924264
519;21;29,74;46,12162162
520;21;30,7;47,41891892
521;21;31,78;48,87837838
522;22;6,05;11,16236162
523;22;7,23;13,33948339
524;22;8,06;14,87084871
525;22;9,29;16,68850073
526;22;10,45;18,37700146
529;22;11,42;19,78893741
530;22;12,63;21,55021834
531;22;13,82;23,28238719
532;22;14,91;24,86899563
533;22;16,19;26,69154229
534;22;17,26;28,21250888
535;22;18,46;29,91826581
536;22;19,68;31,65245203
537;22;20,92;33,41506752
538;22;22,15;35,16346837
539;22;23,39;36,92608387
540;22;24,58;38,61762615
541;22;25,84;40,40867093
542;22;27,07;42,15707178
543;22;28,18;43,73489694
544;22;29,56;45,72916667
545;22;30,85;47,64880952
546;22;32,04;49,41964286
547;23;5,78;13,76190476
548;23;6,92;16,0652921
549;23;7,99;17,90378007
550;23;9,09;19,79381443
551;23;10,18;21,66666667
552;23;11,28;23,55670103
553;23;12,42;25,47885076
554;23;13,67;27,47406225
555;23;14,75;29,19792498
556;23;15,9;31,03351955
557;23;17,08;32,9169992
