id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
7;3;5;-1;4,41;3;6,81;15;6,81
8;3;15;6,81;6,81;6;12,41;25;12,41
9;3;25;12,41;12,41;11;23,91;45;23,91
10;4;5;-1;4,71;2;6,54;15;6,54
11;4;15;6,54;6,54;5;11,96;25;11,96
12;4;25;11,96;11,96;10;22,94;45;22,94
13;5;5;-1;5,03;1;6,32;15;6,32
14;5;15;6,32;6,32;5;11,62;25;11,62
15;5;25;11,62;11,62;11;22,46;45;22,46
16;6;5;-1;5,57;1;6,42;15;6,42
17;6;15;6,42;6,42;5;11,75;25;11,75
18;6;25;11,75;11,75;9;22,84;45;22,84
19;7;5;-1;5,76;1;6,25;15;6,25
20;7;15;6,25;6,25;5;11,52;25;11,52
21;7;25;11,52;11,52;11;22,32;45;22,32
22;8;5;-1;5,6;1;6,7;15;6,7
23;8;15;6,7;6,7;6;12,91;25;12,91
24;8;25;12,91;12,91;13;25,26;45;25,26
25;9;5;-1;6,41;0;6,78;15;6,78
26;9;15;6,78;6,78;6;13,23;25;13,23
27;9;25;13,23;13,23;12;25,76;45;25,76
28;10;5;-1;5,72;1;6,78;15;6,78
29;10;15;6,78;6,78;6;12,67;25;12,67
30;10;25;12,67;12,67;13;24,82;45;24,82
31;11;5;-1;5,81;1;6,93;15;6,93
32;11;15;6,93;6,93;6;13,3;25;13,3
33;11;25;13,3;13,3;13;26,2;45;26,2
34;12;5;-1;5,69;1;6,66;15;6,66
35;12;15;6,66;6,66;6;12,77;25;12,77
36;12;25;12,77;12,77;13;25,36;45;25,36
37;13;5;-1;6,25;0;6,66;15;6,66
38;13;15;6,66;6,66;7;13,08;25;13,08
39;13;25;13,08;13,08;13;25,72;45;25,72
40;14;5;-1;4,56;1;5,43;15;5,43
41;14;15;5,43;5,43;5;10,6;25;10,6
42;14;25;10,6;10,6;10;20,66;45;20,66
43;15;5;-1;5,37;0;5,79;15;5,79
44;15;15;5,79;5,79;6;11,12;25;11,12
45;15;25;11,12;11,12;11;21,65;45;21,65
46;16;5;-1;4,34;2;6,19;15;6,19
47;16;15;6,19;6,19;5;11,25;25;11,25
48;16;25;11,25;11,25;10;21,87;45;21,87
49;17;5;-1;5,4;0;5,7;15;5,7
50;17;15;5,7;5,7;6;11;25;11
51;17;25;11;11;11;21,7;45;21,7
52;18;5;-1;5,21;1;5,78;15;5,78
53;18;15;5,78;5,78;5;11,17;25;11,17
54;18;25;11,17;11,17;10;21,82;45;21,82
55;19;5;-1;6,35;1;7,84;15;7,84
56;19;15;7,84;7,84;6;15;25;15
57;19;25;15;15;13;28,92;45;28,92
58;20;5;-1;6,11;2;8,05;15;8,05
59;20;15;8,05;8,05;7;14,72;25;14,72
60;20;25;14,72;14,72;13;28,34;45;28,34
61;21;5;-1;6,34;1;7,7;15;7,7
62;21;15;7,7;7,7;7;14,65;25;14,65
63;21;25;14,65;14,65;15;28,91;45;28,91
64;22;5;-1;6,05;2;8,13;15;8,13
65;22;15;8,13;8,13;6;15;25;15
66;22;25;15;15;12;29,07;45;29,07
67;23;5;-1;5,78;0;6,3;15;6,3
68;23;15;6,3;6,3;5;12,12;25;12,12
69;23;25;12,12;12,12;11;24,65;45;24,65
70;23;55;29,9;33,05;8;43,52;75;43,52
71;23;75;43,52;43,52;10;56,38;95;56,38
72;23;105;62,25;65,85;6;75,83;125;75,83
73;23;125;75,83;75,83;9;89,58;145;89,58
74;23;155;94,8;97,68;7;109,03;175;109,03
75;23;175;109,03;109,03;9;122,82;195;122,82
76;23;205;129,09;131,99;7;144,35;225;144,35
77;23;225;144,35;144,35;9;158,96;245;158,96
78;23;255;165,28;168,06;8;180,37;275;180,37
79;23;275;180,37;180,37;9;195,06;295;195,06
80;23;305;201,09;203,06;7;213,84;325;213,84
81;23;325;213,84;213,84;8;226,31;345;226,31
82;23;355;231,74;233,97;7;244,75;375;244,75
83;23;375;244,75;244,75;8;257,22;395;257,22
84;24;5;-1;5,66;1;6,48;15;6,48
85;24;15;6,48;6,48;5;11,8;25;11,8
86;24;25;11,8;11,8;10;22,81;45;22,81
87;25;5;-1;6,46;0;6,91;15;6,91
88;25;15;6,91;6,91;6;13,23;25;13,23
89;25;25;13,23;13,23;11;25,77;45;25,77
90;25;55;31,68;36,47;2;38,19;65;38,19
91;25;65;38,19;38,19;6;44,91;75;44,91
92;25;75;44,91;44,91;13;58,56;95;58,56
93;26;5;-1;5,66;0;6,11;15;6,11
94;26;15;6,11;6,11;5;11,29;25;11,29
95;26;25;11,29;11,29;11;22,13;45;22,13
96;27;5;-1;5,37;1;6,1;15;6,1
97;27;15;6,1;6,1;5;11,46;25;11,46
98;27;25;11,46;11,46;11;22,32;45;22,32
99;28;5;-1;4,92;2;6,49;15;6,49
100;28;15;6,49;6,49;5;11,91;25;11,91
101;28;25;11,91;11,91;10;22,85;45;22,85
102;29;5;-1;6,08;1;6,84;15;6,84
103;29;15;6,84;6,84;6;13,05;25;13,05
104;29;25;13,05;13,05;10;25,34;45;25,34
105;29;55;31,24;34,85;3;38,61;65;38,61
106;29;65;38,61;38,61;5;45,76;75;45,76
107;29;75;45,76;45,76;10;60,52;95;60,52
108;29;105;66,58;69,83;3;74,6;115;74,6
109;29;115;74,6;74,6;4;82,48;125;82,48
110;29;125;82,48;82,48;9;98,08;145;98,08
111;29;155;104,72;106,23;4;111,4;165;111,4
112;29;165;111,4;111,4;5;118;175;118
113;29;175;118;118;9;131,26;195;131,26
114;30;5;-1;4,67;1;5,46;15;5,46
115;30;15;5,46;5,46;5;10,65;25;10,65
116;30;25;10,65;10,65;10;20,83;45;20,83
117;31;5;-1;4,01;2;6,11;15;6,11
118;31;15;6,11;6,11;5;11,13;25;11,13
119;31;25;11,13;11,13;11;21,67;45;21,67
120;32;5;-1;5,26;1;5,71;15;5,71
121;32;15;5,71;5,71;6;11,05;25;11,05
122;32;25;11,05;11,05;11;21,49;45;21,49
123;33;5;-1;5,44;0;5,82;15;5,82
124;33;15;5,82;5,82;6;11,2;25;11,2
125;33;25;11,2;11,2;11;21,96;45;21,96
126;34;5;-1;5,21;1;5,85;15;5,85
127;34;15;5,85;5,85;5;11,12;25;11,12
128;34;25;11,12;11,12;10;21,82;45;21,82
129;35;5;-1;6,09;0;6,22;15;6,22
130;35;15;6,22;6,22;6;11,71;25;11,71
131;35;25;11,71;11,71;11;23,01;45;23,01
132;36;5;-1;4,79;1;5,64;15;5,64
133;36;15;5,64;5,64;4;10,69;25;10,69
134;36;25;10,69;10,69;8;20,88;45;20,88
135;36;55;25,24;27,37;3;30,79;65;30,79
136;36;65;30,79;30,79;4;36,11;75;36,11
137;36;75;36,11;36,11;9;46,89;95;46,89
138;37;5;-1;4,74;1;5,67;15;5,67
139;37;15;5,67;5,67;4;10,6;25;10,6
140;37;25;10,6;10,6;9;20,54;45;20,54
141;37;55;24,92;27,29;3;30,3;65;30,3
142;37;65;30,3;30,3;5;35,68;75;35,68
143;37;75;35,68;35,68;9;46,65;95;46,65
144;38;5;-1;4,05;2;6,11;15;6,11
145;38;15;6,11;6,11;4;11,11;25;11,11
146;38;25;11,11;11,11;8;21,19;45;21,19
147;38;55;25,99;27,3;3;31,22;65;31,22
148;38;65;31,22;31,22;4;36,59;75;36,59
149;38;75;36,59;36,59;9;47,77;95;47,77
150;39;5;-1;3,86;2;5,95;15;5,95
151;39;15;5,95;5,95;4;10,96;25;10,96
152;39;25;10,96;10,96;8;21,16;45;21,16
153;39;55;25,73;26,77;3;31;65;31
154;39;65;31;31;4;36,43;75;36,43
155;39;75;36,43;36,43;9;47,53;95;47,53
156;40;5;-1;7,15;1;8,12;15;8,12
157;40;15;8,12;8,12;5;14,92;25;14,92
158;40;25;14,92;14,92;10;28,84;45;28,84
159;40;55;34,69;37,65;3;41,88;65;41,88
160;40;65;41,88;41,88;5;49;75;49
161;40;75;49;49;10;63,16;95;63,16
162;40;105;69,09;71,33;4;76,25;115;76,25
163;40;115;76,25;76,25;5;83,48;125;83,48
164;40;125;83,48;83,48;10;97,78;145;97,78
165;40;155;104,05;106,35;4;111,1;165;111,1
166;40;165;111,1;111,1;5;118,21;175;118,21
167;40;175;118,21;118,21;11;132,32;195;132,32
168;41;5;-1;6,76;0;7,44;15;7,44
169;41;15;7,44;7,44;4;13,96;25;13,96
170;41;25;13,96;13,96;8;27,41;45;27,41
171;41;55;33,23;35,63;3;40,4;65;40,4
172;41;65;40,4;40,4;4;47,42;75;47,42
173;41;75;47,42;47,42;8;61,59;95;61,59
174;41;105;67,43;69,12;3;74,77;115;74,77
175;41;115;74,77;74,77;4;82,14;125;82,14
176;41;125;82,14;82,14;9;96,72;145;96,72
177;41;155;102,76;104,51;4;110,18;165;110,18
178;41;165;110,18;110,18;5;117,32;175;117,32
