analyses.id;nageurs.id;prenom;nageurs.nom;sexe;anneeDeNaissance;nationalite;club;dateCourse;competitions.nom;distances.libelle;styles.libelle;rounds.libelle;tpsDebutCourse;tpsFinal;tpsReaction;tpsDecollagePieds;tpsVol;couloir
14;63;Bertille;COUSSON;f;20020101;FRA;STADE BÉTHUNE PÉLICAN CLUB;20220204;GFT 2022 NICE;100;Dos;Series;4,21;63;0,6;0,6;0,7;5
8;207;Antoine;HERLEM;m;19990101;FRA;DAUPHINS TOULOUSE OEC;20220204;GFT 2022 NICE;100;Dos;Series;8,34;56,16;0,5;0,5;0,65;3
9;136;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;20220204;GFT 2022 NICE;100;Dos;Series;10,27;54,77;0,5;0,5;0,62;4
10;117;Yohann;NDOYE-BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;20220204;GFT 2022 NICE;100;Dos;Series;8,07;54,54;0,6;0,6;0,71;4
15;12;Mary-Ambre;MOLUH;f;20050101;FRA;U.S CRETEIL NATATION;20220204;GFT 2022 NICE;100;Dos;Series;5,65;62,3;0,6;0,6;0,72;4
16;67;Lou-Anne;GUITON;f;20030101;FRA;STADE BÉTHUNE PÉLICAN CLUB;20220204;GFT 2022 NICE;100;Dos;Series;5,57;63,64;0,6;0,6;0,68;6
28;77;Adèle;BLANCHETIERE;f;19990101;FRA;DAUPHINS TOULOUSE OEC;20220204;GFT 2022 NICE;50;Brasse;Series;7,92;33,27;0,7;0,7;0,98;3
29;39;Cyrielle;DUHAMEL;f;20000101;FRA;STADE BÉTHUNE PÉLICAN CLUB;20220204;GFT 2022 NICE;50;Brasse;Series;7,87;32,67;0,6;0,6;0,86;5
27;76;Chloé;BRAUN;f;20040101;FRA;DAUPHINS TOULOUSE OEC;20220204;GFT 2022 NICE;50;Brasse;Series;6,23;33,24;0,6;0,6;0,92;3
26;53;Claire;CHUFFART;f;20040101;FRA;CN ANTIBES;20220204;GFT 2022 NICE;50;Brasse;Series;6,25;33,24;0,6;0,6;0,88;6
21;209;Lucien;VERGNES;m;20040101;FRA;CN CUGNAUX;20220204;GFT 2022 NICE;50;Brasse;Series;6,91;29,72;0,6;0,6;0,87;2
22;214;Antoine;VIQUERAT;m;19980101;FRA;DAUPHINS TOULOUSE OEC;20220204;GFT 2022 NICE;50;Brasse;Series;6,98;28,32;0,6;0,6;1,03;4
23;213;Carl;AITKACI;m;20010101;FRA;HAUTS-DE-SEINE;20220204;GFT 2022 NICE;50;Brasse;Series;8,78;28,61;0,6;0,6;0,93;4
24;196;Kacper;PASTULA;m;20010101;FRA;US VILLEJUIF NATATION;20220204;GFT 2022 NICE;50;Brasse;Series;8,75;28,93;0,6;0,6;1,06;5
25;218;Léo;PALFRAY;m;20010101;FRA;HAUTS-DE-SEINE;20220204;GFT 2022 NICE;50;Brasse;Series;8,75;29,93;0,6;0,6;1,03;6
17;3;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;20220204;GFT 2022 NICE;50;Nage Libre;Series;6,54;25,43;0,6;0,6;0,85;4
18;6;Anna;SANTAMANS;f;19930101;FRA;PAYS D'AIX NATATION;20220204;GFT 2022 NICE;50;Nage Libre;Series;6,51;25,97;0,6;0,6;0,92;5
19;12;Mary-Ambre;MOLUH;f;20050101;FRA;U.S CRETEIL NATATION;20220204;GFT 2022 NICE;50;Nage Libre;Series;6,01;26,02;0,6;0,6;0,92;6
20;4;Lison;NOWACZYK;f;20030101;FRA;STADE BÉTHUNE PÉLICAN CLUB;20220204;GFT 2022 NICE;50;Nage Libre;Series;2,71;25,87;0,6;0,6;0,85;5
1;108;Thomas;PIRON;m;20000101;FRA;LYON NATATION METROPOLE;20220204;GFT 2022 NICE;50;Papillon;Series;4,57;24,42;0,6;0,6;0,93;4
5;106;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;20220204;GFT 2022 NICE;50;Papillon;Series;5,83;23,78;0,6;0,6;1,01;4
4;110;Guillaume;GUTH;m;20000101;FRA;DAUPHINS TOULOUSE OEC;20220204;GFT 2022 NICE;50;Papillon;Series;5,85;24,54;0,6;0,6;0,98;5
3;134;Charles;RIHOUX;m;19980101;FRA;OLYMPIC NICE NATATION;20220204;GFT 2022 NICE;50;Papillon;Series;5,83;24,7;0,6;0,6;0,9;6
2;116;Quentin;SETIM;m;20000101;FRA;HAUTS-DE-SEINE;20220204;GFT 2022 NICE;50;Papillon;Series;5,81;25,05;0,6;0,6;0,86;7
7;137;Enzo;TESIC;m;20000101;FRA;AMIENS METROPOLE NAT.;20220204;GFT 2022 NICE;50;Papillon;Series;5,49;24,67;0,6;0,6;0,94;2
