id;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
1;1;0;5,66;-1;0;23,8;50;24,42
2;2;0;5,44;-1;0;24,92;50;25,05
3;3;0;5,11;-1;0;24,68;50;24,7
4;4;0;5,08;-1;0;24,2;50;24,54
5;5;0;4,96;-1;0;23,77;50;23,78
6;6;0;4,97;-1;0;23,52;50;24,33
7;7;0;5,64;-1;0;24,13;50;24,67
8;8;0;6,09;-1;0;25,69;50;27,09
9;8;50;33,31;-1;0;55,69;100;56,16
10;9;0;6,22;-1;0;24,74;50;26,3
11;9;50;32,12;-1;0;53,8;100;54,77
12;10;0;6,06;-1;0;26,32;50;27,86
13;10;50;33,63;-1;0;53,8;100;54,54
14;11;0;6,96;-1;0;28,68;50;29,52
15;11;50;34,35;-1;0;65,84;100;66,27
16;11;100;71,98;-1;0;106,13;150;106,65
17;11;150;110,22;-1;0;138,88;200;139,15
22;13;0;-1;-1;0;-1;50;31,27
23;13;50;-1;-1;0;-1;100;68,14
24;13;100;-1;-1;0;-1;150;109,77
25;13;150;-1;-1;0;-1;200;143,65
26;14;0;6,01;-1;0;29,52;50;30,89
27;14;50;36,54;-1;0;62,74;100;63
28;15;0;7,1;-1;0;30,76;50;32,01
29;15;50;38,56;-1;0;62,16;100;62,3
30;16;0;-1;-1;0;-1;50;31,19
31;16;50;-1;-1;0;-1;100;63,64
32;17;0;5,87;-1;0;25,01;50;25,43
33;18;0;4,78;-1;0;25,82;50;25,97
34;19;0;5,93;-1;0;25,8;50;26,02
35;20;0;6,01;-1;0;25,62;50;25,87
36;21;0;6,15;-1;0;28,87;50;29,72
37;22;0;-1;-1;0;-1;50;28,32
38;23;0;-1;-1;0;-1;50;28,61
39;24;0;5,79;-1;0;28,49;50;28,93
40;25;0;6,19;-1;0;29,13;50;29,93
41;26;0;6,54;-1;0;32,54;50;33,24
42;27;0;5,76;-1;0;32,66;50;33,24
43;28;0;6,62;-1;0;32,52;50;33,27
44;29;0;5,98;-1;0;31,92;50;32,67
45;30;0;5,06;-1;0;28,19;50;28,2
46;30;50;33,1;-1;0;60,64;100;60,73
47;31;0;5,05;-1;0;29,24;50;29,83
48;31;50;33,83;-1;0;61,93;100;62,4
49;32;0;6,01;-1;0;27,42;50;28,36
50;32;50;34,41;-1;0;60,04;100;60,64
51;33;0;4,86;-1;0;28,23;50;29,01
52;33;50;33,57;-1;0;60,92;100;62,31
53;34;0;6,24;-1;0;32,8;50;33,33
54;35;0;5,37;-1;0;31,57;50;32,25
55;36;0;5,43;-1;0;32,41;50;33,21
56;37;0;6,76;-1;0;32,4;50;33,27
57;38;0;6,5;-1;0;28,37;50;29,57
58;39;0;6,18;-1;0;27,81;50;28,31
59;40;0;5,84;-1;0;28,16;50;28,57
60;41;0;5,62;-1;0;27,84;50;29,09
61;42;0;5,84;-1;0;28,73;50;29,39
62;43;0;4,97;-1;0;25,51;50;26,05
63;44;0;5,29;-1;0;25,1;50;25,65
64;45;0;5,89;-1;0;25,24;50;25,65
65;46;0;6,07;-1;0;25,84;50;26,05
66;47;0;4,58;-1;0;25,75;50;26,44
67;48;0;5,15;-1;0;24,37;50;24,88
68;49;0;5,6;-1;0;24,54;50;24,55
69;50;0;5,15;-1;0;24,11;50;24,6
70;51;0;4,51;-1;0;23,01;50;23,72
71;52;0;5,62;-1;0;23,68;50;24,14
72;53;0;5,5;-1;0;24,4;50;24,57
73;54;0;5,38;-1;0;24,6;50;25,16
74;55;0;4,78;-1;0;27,82;50;28,59
75;55;50;33,58;-1;0;61,2;100;62,08
76;56;0;-1;-1;0;-1;50;28,43
77;56;50;-1;-1;0;-1;100;59,97
78;57;0;5,92;-1;0;27,84;50;28,34
79;57;50;34,05;-1;0;60,05;100;60,37
80;58;0;5,11;-1;0;28,5;50;28,82
81;58;50;32,67;-1;0;60,84;100;61,49
82;59;0;5,9;-1;0;27,52;50;27,93
83;59;50;32,95;-1;0;59,72;100;60,54
84;59;100;65,98;-1;0;94,83;150;96,85
85;59;150;101,52;-1;0;131,36;200;131,6
86;59;200;137,43;-1;0;170,17;250;171,8
87;59;250;177,92;-1;0;212,4;300;213,71
88;59;300;218,23;-1;0;245,74;350;247,38
89;59;350;250,97;-1;0;279,18;400;279,5
90;60;0;5,6;-1;0;27,7;50;27,72
91;60;50;33,91;-1;0;60,66;100;60,72
92;60;100;66,13;-1;0;95,02;150;96,62
93;60;150;100,69;-1;0;130,82;200;131,44
94;60;200;138,14;-1;0;167,72;250;169,59
95;60;250;176,72;-1;0;206,76;300;207,47
96;60;300;211,54;-1;0;237,46;350;238,68
97;60;350;241,96;-1;0;267,48;400;267,74
98;61;0;4,87;-1;0;28,9;50;28,92
99;61;50;33,33;-1;0;61,63;100;61,71
100;61;100;66,1;-1;0;95,78;150;97,6
101;61;150;100,89;-1;0;131,11;200;131,85
102;61;200;136,61;-1;0;168,72;250;170,23
103;61;250;175,55;-1;0;208,2;300;208,88
104;61;300;212,13;-1;0;239,22;350;240,97
105;61;350;243,16;-1;0;269,83;400;269,96
106;62;0;6,25;-1;0;27,9;50;28,98
107;62;50;34,71;-1;0;61,65;100;62,48
108;62;100;67,07;-1;0;96,64;150;98,64
109;62;150;101,98;-1;0;133,54;200;134,26
110;62;200;140,02;-1;0;173;250;173,55
111;62;250;179,93;-1;0;211,36;300;212,62
112;62;300;216,48;-1;0;242,55;350;244,48
113;62;350;247,14;-1;0;273,94;400;274,71
114;63;0;-1;-1;0;-1;50;29,46
115;63;50;-1;-1;0;-1;100;64,08
116;63;100;-1;-1;0;-1;150;103,43
117;63;150;-1;-1;0;-1;200;136,1
118;64;0;4,87;-1;0;30,58;50;31,26
119;64;50;35,59;-1;0;67,72;100;68,58
120;64;100;73,27;-1;0;109,51;150;110,6
121;64;150;113,77;-1;0;144,4;200;144,54
122;65;0;5,74;-1;0;30,16;50;31,18
