id,idAnalyse,distanceDebut,tpsDebut,tpsDebutCycles,nbCycles,tpsFinCycles,distanceFin,tpsFin,TRIAL311
1,1,5.0,-1.0,5.67,0,6.14,15.0,6.14,T
2,1,15.0,6.14,6.14,5,11.39,25.0,11.39,T
3,1,25.0,11.39,11.39,11,22.29,45.0,22.29,T
4,2,5.0,-1.0,-1.0,-1,-1.0,15.0,6.32,T
5,2,15.0,6.32,6.87,4,11.6,25.0,11.6,T
6,2,25.0,11.6,11.6,10,22.52,45.0,22.52,T
7,3,5.0,-1.0,5.86,1,6.6,15.0,6.6,T
8,3,15.0,6.6,6.6,5,11.92,25.0,11.92,T
9,3,25.0,11.92,11.92,10,23.28,45.0,23.28,T
10,4,5.0,-1.0,-1.0,-1,-1.0,15.0,6.31,T
11,4,15.0,6.31,6.47,5,11.93,25.0,11.93,T
12,4,25.0,11.93,11.93,10,23.47,45.0,23.47,T
13,4,55.0,28.92,32.33,3,35.33,65.0,35.33,T
14,4,65.0,35.33,35.33,5,41.47,75.0,41.47,T
15,4,75.0,41.47,41.47,11,54.6,95.0,54.6,T
16,5,5.0,-1.0,5.28,1,6.43,15.0,6.43,T
17,5,15.0,6.43,6.43,5,11.73,25.0,11.73,T
18,5,25.0,11.73,11.73,10,22.91,45.0,22.91,T
19,5,55.0,27.57,29.07,4,33.65,65.0,33.65,T
20,5,65.0,33.65,33.65,5,39.37,75.0,39.37,T
21,5,75.0,39.37,39.37,10,51.29,95.0,51.29,T
22,6,5.0,-1.0,5.23,1,6.33,15.0,6.33,T
23,6,15.0,6.33,6.33,5,11.68,25.0,11.68,T
24,6,25.0,11.68,11.68,10,22.87,45.0,22.87,T
25,6,55.0,27.95,29.12,4,34.03,65.0,34.03,T
26,6,65.0,34.03,34.03,5,40.02,75.0,40.02,T
27,6,75.0,40.02,40.02,9,52.55,95.0,52.55,T
28,7,5.0,-1.0,4.69,1,6.14,15.0,6.14,T
29,7,15.0,6.14,6.14,5,11.64,25.0,11.64,T
30,7,25.0,11.64,11.64,10,23.0,45.0,23.0,T
31,7,55.0,27.92,29.56,4,34.04,65.0,34.04,T
32,7,65.0,34.04,34.04,5,39.9,75.0,39.9,T
33,7,75.0,39.9,39.9,9,52.0,95.0,52.0,T
34,8,5.0,-1.0,4.87,2,6.36,15.0,6.36,T
35,8,15.0,6.36,6.36,5,11.88,25.0,11.88,T
36,8,25.0,11.88,11.88,10,23.46,45.0,23.46,T
37,8,55.0,28.48,29.86,4,34.6,65.0,34.6,T
38,8,65.0,34.6,34.6,5,40.46,75.0,40.46,T
39,8,75.0,40.46,40.46,10,52.38,95.0,52.38,T
40,9,5.0,-1.0,6.09,1,6.77,15.0,6.77,T
41,9,15.0,6.77,6.77,5,13.23,25.0,13.23,T
42,9,25.0,13.23,13.23,10,25.77,45.0,25.77,T
43,9,55.0,31.33,35.18,2,38.17,65.0,38.17,T
44,9,65.0,38.17,38.17,6,44.87,75.0,44.87,T
45,9,75.0,44.87,44.87,12,58.31,95.0,58.31,T
46,10,5.0,-1.0,-1.0,-1,-1.0,15.0,6.56,T
47,10,15.0,6.56,7.06,4,12.88,25.0,12.88,T
48,10,25.0,12.88,12.88,9,25.5,45.0,25.5,T
49,10,55.0,30.84,35.24,2,37.94,65.0,37.94,T
50,10,65.0,37.94,37.94,5,44.42,75.0,44.42,T
51,10,75.0,44.42,44.42,11,58.16,95.0,58.16,T
52,11,5.0,-1.0,4.61,3,6.46,15.0,6.46,T
53,11,15.0,6.46,6.46,8,12.08,25.0,12.08,T
54,11,25.0,12.08,12.08,16,23.76,45.0,23.76,T
55,11,55.0,28.46,30.18,14,40.54,75.0,40.54,T
56,11,75.0,40.54,40.54,15,52.5,95.0,52.5,T
57,11,105.0,57.46,58.77,14,69.48,125.0,69.48,T
58,11,125.0,69.48,69.48,16,81.58,145.0,81.58,T
59,11,155.0,86.4,87.87,14,98.49,175.0,98.49,T
60,11,175.0,98.49,98.49,16,110.94,195.0,110.94,T
61,11,205.0,115.74,117.2,14,127.68,225.0,127.68,T
62,11,225.0,127.68,127.68,15,139.82,245.0,139.82,T
63,11,255.0,144.69,146.38,13,156.66,275.0,156.66,T
64,11,275.0,156.66,156.66,15,168.94,295.0,168.94,T
65,11,305.0,174.02,175.41,14,186.14,325.0,186.14,T
66,11,325.0,186.14,186.14,16,198.41,345.0,198.41,T
67,11,355.0,203.34,204.6,15,215.38,375.0,215.38,T
68,11,375.0,215.38,215.38,18,227.74,395.0,227.74,T
69,12,5.0,-1.0,5.93,0,6.13,15.0,6.13,T
70,12,15.0,6.13,6.13,5,11.25,25.0,11.25,T
71,12,25.0,11.25,11.25,10,21.77,45.0,21.77,T
72,13,5.0,-1.0,5.6,1,6.12,15.0,6.12,T
73,13,15.0,6.12,6.12,6,11.38,25.0,11.38,T
74,13,25.0,11.38,11.38,11,22.3,45.0,22.3,T
75,14,5.0,-1.0,-1.0,-1,-1.0,15.0,6.35,T
