idNageur;Prénom;Nom;Sexe;DateDeNaissance;Nationalite;Club;idCourse;idCompetition;LongeurBassin;DistanceCourse;StyleDeNage;Round;Date;TempsDebutCourse;TempsFinalCourse;idAnalyse
629072;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;2;1;50;1;4;1;20210517;7.24;24.89;1
23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;3;1;50;1;2;1;20210517;9.79;24.96;2
1186968;Maxence;ORANGE;m;19980101;FRA;NANTES NATATION;3;1;50;1;2;1;20210517;16.25;25.93;3
961314;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;5;1;50;2;1;1;20210517;7.5;57.69;4
720557;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;6;1;50;8;4;1;20210517;14.28;53.93;5
1466696;Lison;NOWACZYK;f;20030101;FRA;STADE BÉTHUNE PÉLICAN CLUB;6;1;50;8;4;1;20210517;68.24;55.51;6
608455;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;6;1;50;8;4;1;20210517;123.73;54.74;7
622289;Anouchka;MARTIN;f;19930101;FRA;CN MARSEILLE;6;1;50;8;4;1;20210517;178.45;55.07;8
1076939;Theo;BUSSIERE;m;19950101;FRA;CN MARSEILLE;4;1;50;2;3;1;20210517;14.24;61.4;9
764954;Antoine;VIQUERAT;m;19980101;FRA;DAUPHINS TOULOUSE OEC;4;1;50;2;3;1;20210517;17.73;61.43;10
569053;Joris;BOUCHAUT;m;19950101;FRA;DAUPHINS TOULOUSE OEC;7;1;50;4;4;1;20210517;23.93;230.48;11
35;Kliment;KOLESNIKOV;m;20000709;RUS;b'';3;1;50;1;2;1;20210517;0.8;24.23;12
629072;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;8;1;50;1;4;2;20210517;19.99;25.08;13
23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;9;1;50;1;2;2;20210517;9.09;25.11;14
961314;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;10;1;50;2;1;2;20210517;10.39;57.48;15
961314;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;11;1;50;8;4;3;20210517;10.83;53.97;16
720557;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;11;1;50;8;4;3;20210517;64.82;53.36;17
622289;Anouchka;MARTIN;f;19930101;FRA;CN MARSEILLE;11;1;50;8;4;3;20210517;118.18;54.25;18
608455;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;11;1;50;8;4;3;20210517;172.45;54.34;19
842444;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;12;1;50;2;4;1;20210518;12.86;48.36;20
1155520;Julien;BEROL;m;20010101;FRA;CN MARSEILLE;12;1;50;2;4;1;20210518;13.81;49.35;21
1020299;Charles;RIHOUX;m;19980101;FRA;OLYMPIC NICE NATATION;12;1;50;2;4;1;20210518;18.56;49.04;22
1376245;Léon;MARCHAND;m;20020101;FRA;DAUPHINS TOULOUSE OEC;13;1;50;3;1;1;20210518;10.95;116.33;23
681980;Damien;JOLY;m;19920101;FRA;MONTPELLIER METROPOLE NATATION;14;1;50;6;4;1;20210518;12.92;896.09;24
842444;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;15;1;50;2;4;2;20210518;3.32;48.09;25
961314;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;16;1;50;2;1;3;20210518;11.83;57.37;26
1376245;Léon;MARCHAND;m;20020101;FRA;DAUPHINS TOULOUSE OEC;17;1;50;3;1;2;20210518;7.1;117.77;27
1150269;Clément;BIDARD;m;20010101;FRA;MULHOUSE ON;18;1;50;3;5;1;20210519;7.06;122.29;28
23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;20;1;50;2;2;1;20210519;12.61;53.24;29
1230332;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;20;1;50;2;2;1;20210519;9.5;53.46;30
720557;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;19;1;50;3;4;1;20210519;7.57;118.33;31
1186968;Maxence;ORANGE;m;19980101;FRA;NANTES NATATION;20;1;50;2;2;1;20210519;13.25;54.9;32
1025151;Jonathan;ATSU;m;19960101;FRA;DAUPHINS TOULOUSE OEC;21;1;50;9;4;1;20210519;9.91;108.26;33
1155613;Enzo;TESIC;m;20000101;FRA;AMIENS METROPOLE NAT.;21;1;50;9;4;1;20210519;118.17;106.87;34
888067;Roman;FUCHS;m;19980101;FRA;AMIENS METROPOLE NAT.;21;1;50;9;4;1;20210519;225.03;108.97;35
713589;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;21;1;50;9;4;1;20210519;334.0;106.34;36
608455;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;19;1;50;3;4;1;20210519;3.0;120.99;37
1376245;Léon;MARCHAND;m;20020101;FRA;DAUPHINS TOULOUSE OEC;22;1;50;3;3;1;20210519;5.47;133.4;38
764954;Antoine;VIQUERAT;m;19980101;FRA;DAUPHINS TOULOUSE OEC;22;1;50;3;3;1;20210519;7.24;132.82;39
842444;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;23;1;50;2;4;3;20210519;15.33;47.9;40
23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;24;1;50;2;2;2;20210519;16.62;53.01;41
1230332;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;24;1;50;2;2;2;20210519;15.79;52.86;42
720557;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;25;1;50;3;4;2;20210519;14.25;117.3;43
713589;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;26;1;50;9;4;3;20210519;20.65;106.91;44
1155613;Enzo;TESIC;m;20000101;FRA;AMIENS METROPOLE NAT.;26;1;50;9;4;3;20210519;127.57;106.88;45
1230332;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;26;1;50;9;4;3;20210519;234.39;106.96;46
1025151;Jonathan;ATSU;m;19960101;FRA;DAUPHINS TOULOUSE OEC;26;1;50;9;4;3;20210519;341.4;106.49;47
713589;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;27;1;50;3;4;1;20210520;0.15;107.44;48
1025151;Jonathan;ATSU;m;19960101;FRA;DAUPHINS TOULOUSE OEC;27;1;50;3;4;1;20210520;9.77;107.84;49
842444;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;29;1;50;1;1;1;20210520;13.36;23.41;50
158014;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;29;1;50;1;1;1;20210520;18.13;23.54;52
23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;30;1;50;8;5;1;20210520;4.99;53.64;53
1076939;Theo;BUSSIERE;m;19950101;FRA;CN MARSEILLE;30;1;50;8;5;1;20210520;58.74;59.97;54
961314;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;30;1;50;8;5;1;20210520;118.71;57.83;55
608455;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;30;1;50;8;5;1;20210520;176.56;54.95;56
1155613;Enzo;TESIC;m;20000101;FRA;AMIENS METROPOLE NAT.;27;1;50;3;4;1;20210520;3.43;108.47;57
888067;Roman;FUCHS;m;19980101;FRA;AMIENS METROPOLE NAT.;27;1;50;3;4;1;20210520;13.28;110.41;58
23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;31;1;50;2;2;3;20210520;19.31;52.97;59
1230332;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;31;1;50;2;2;3;20210520;21.35;53.0;60
158014;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;33;1;50;1;1;2;20210520;18.74;23.41;61
842444;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;33;1;50;1;1;2;20210520;4.45;23.39;62
713589;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;32;1;50;3;4;2;20210520;9.01;107.6;63
1025151;Jonathan;ATSU;m;19960101;FRA;DAUPHINS TOULOUSE OEC;32;1;50;3;4;2;20210520;17.75;108.07;64
720557;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;34;1;50;3;4;3;20210520;14.51;116.55;65
961314;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;35;1;50;2;4;1;20210521;4.69;54.07;66
1076939;Theo;BUSSIERE;m;19950101;FRA;CN MARSEILLE;36;1;50;1;3;1;20210521;17.37;27.95;67
1085477;Cyrielle;DUHAMEL;f;20000101;FRA;STADE BÉTHUNE PÉLICAN CLUB;37;1;50;3;5;1;20210521;9.6;132.35;68
419164;Antoine;HERLEM;m;19990101;FRA;DAUPHINS TOULOUSE OEC;38;1;50;3;2;1;20210521;11.16;116.42;69
23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;38;1;50;3;2;1;20210521;8.52;117.7;70
